name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	115359769	24199	115383968	0.99990
Pseudomonas oryzihabitans	47885	S	280	14	294	0.00000
Pseudomonas putida	303	S	11	3	14	0.00000
Pseudomonas monteilii	76759	S	3	0	3	0.00000
Pseudomonas fluorescens	294	S	80	18	98	0.00000
Pseudomonas tolaasii	29442	S	22	1	23	0.00000
Pseudomonas veronii	76761	S	15	13	28	0.00000
Pseudomonas rhodesiae	76760	S	4	0	4	0.00000
Pseudomonas corrugata	47879	S	2	0	2	0.00000
Pseudomonas azotoformans	47878	S	2	0	2	0.00000
Pseudomonas protegens	380021	S	2	0	2	0.00000
Pseudomonas cedrina	651740	S	2	0	2	0.00000
Pseudomonas mucidolens	46679	S	1	0	1	0.00000
Pseudomonas migulae	78543	S	1	0	1	0.00000
Pseudomonas poae	200451	S	1	0	1	0.00000
Pseudomonas sp. CMR12a	658629	S	16	14	30	0.00000
Pseudomonas sp. K2W31S-8	2320867	S	5	0	5	0.00000
Pseudomonas sp. UW4	1207075	S	4	1	5	0.00000
Pseudomonas sp. URMO17WK12:I11	1283291	S	4	1	5	0.00000
Pseudomonas sp. CC6-YY-74	1930532	S	4	0	4	0.00000
Pseudomonas sp. ADAK18	2730848	S	3	0	3	0.00000
Pseudomonas sp. ADPe	2774873	S	3	2	5	0.00000
Pseudomonas sp. ABC1	2748080	S	3	0	3	0.00000
Pseudomonas sp. CMR5c	658630	S	2	0	2	0.00000
Pseudomonas sp. ADAK13	2730847	S	2	0	2	0.00000
Pseudomonas sp. NIBRBAC000502773	2590776	S	2	0	2	0.00000
Pseudomonas sp. DY-1	1755504	S	2	0	2	0.00000
Pseudomonas sp. KUIN-1	2609418	S	2	5	7	0.00000
Pseudomonas sp. PDNC002	2811422	S	2	0	2	0.00000
Pseudomonas sp. SWI7	2587597	S	2	4	6	0.00000
Pseudomonas sp. OIL-1	2706126	S	1	0	1	0.00000
Pseudomonas sp. LPB0260	2614442	S	1	0	1	0.00000
Pseudomonas sp. BIGb0427	2724470	S	1	0	1	0.00000
Pseudomonas sp. J380	2605424	S	1	0	1	0.00000
Pseudomonas sp. R76	1573711	S	1	0	1	0.00000
Pseudomonas sp. TCU-HL1	1856685	S	1	0	1	0.00000
Pseudomonas sp. Z003-0.4C(8344-21)	1855380	S	1	0	1	0.00000
Pseudomonas sp. S-6-2	1931241	S	1	0	1	0.00000
Pseudomonas sp. SK	2729423	S	1	0	1	0.00000
Pseudomonas sp. S34	1573718	S	1	0	1	0.00000
Pseudomonas sp. S150	2559074	S	1	0	1	0.00000
Pseudomonas sp. BIOMIG1BAC	1758730	S	1	0	1	0.00000
Pseudomonas sp. NS1(2017)	2025658	S	1	0	1	0.00000
Pseudomonas sp. ADAK22	2730851	S	1	0	1	0.00000
Pseudomonas sp. S1-A32-2	2731681	S	1	0	1	0.00000
Pseudomonas sp. LG1E9	2219057	S	1	0	1	0.00000
Pseudomonas sp.	306	S	1	2	3	0.00000
Pseudomonas sp. Y39-6	2749807	S	1	1	2	0.00000
Pseudomonas sp. SXM-1	2169583	S	1	0	1	0.00000
Pseudomonas sp. S09G 359	2054919	S	1	0	1	0.00000
Pseudomonas sp. phDV1	253237	S	1	0	1	0.00000
Pseudomonas sp. Leaf58	1736226	S	1	0	1	0.00000
Pseudomonas sp. DTU12.3	2073078	S	1	0	1	0.00000
Pseudomonas sp. LG1D9	2083054	S	1	1	2	0.00000
Pseudomonas aeruginosa	287	S	16	21	37	0.00000
Pseudomonas alcaligenes	43263	S	4	0	4	0.00000
Pseudomonas citronellolis	53408	S	4	1	5	0.00000
Pseudomonas nitroreducens	46680	S	3	0	3	0.00000
Pseudomonas multiresinivorans	95301	S	1	0	1	0.00000
Pseudomonas mendocina	300	S	2	0	2	0.00000
Pseudomonas psychrotolerans	237610	S	19	0	19	0.00000
Pseudomonas syringae	317	S	5	1	6	0.00000
Pseudomonas viridiflava	33069	S	2	0	2	0.00000
Pseudomonas cichorii	36746	S	2	0	2	0.00000
Pseudomonas savastanoi	29438	S	1	24	25	0.00000
Pseudomonas koreensis	198620	S	9	1	10	0.00000
Pseudomonas stutzeri	316	S	7	1	8	0.00000
Pseudomonas chlororaphis	587753	S	3	0	3	0.00000
Pseudomonas fragi	296	S	2	0	2	0.00000
Pseudomonas brassicacearum	930166	S	3	2	5	0.00000
Pseudomonas antarctica	219572	S	3	0	3	0.00000
Pseudomonas psychrophila	122355	S	3	0	3	0.00000
Pseudomonas denitrificans (nom. rej.)	43306	S	2	0	2	0.00000
Pseudomonas prosekii	1148509	S	2	0	2	0.00000
Pseudomonas rhizosphaerae	216142	S	2	0	2	0.00000
Pseudomonas yamanorum	515393	S	2	0	2	0.00000
Pseudomonas sediminis	1691904	S	2	0	2	0.00000
Pseudomonas alcaliphila	101564	S	2	0	2	0.00000
Pseudomonas vancouverensis	95300	S	2	0	2	0.00000
Pseudomonas sabulinigri	472181	S	2	0	2	0.00000
Pseudomonas allokribbensis	2774460	S	2	0	2	0.00000
Pseudomonas moraviensis	321662	S	1	0	1	0.00000
Pseudomonas simiae	321846	S	1	0	1	0.00000
Pseudomonas taetrolens	47884	S	1	0	1	0.00000
Pseudomonas guangdongensis	1245526	S	1	0	1	0.00000
Candidatus Pseudomonas adelgestsugas	1302376	S	1	0	1	0.00000
Pseudomonas soli	1306993	S	1	0	1	0.00000
Pseudomonas kribbensis	1628086	S	1	0	1	0.00000
Pseudomonas atacamensis	2565368	S	1	0	1	0.00000
Pseudomonas bijieensis	2681983	S	1	1	2	0.00000
Pseudomonas gozinkensis	2774461	S	1	0	1	0.00000
Pseudomonas otitidis	319939	S	1	0	1	0.00000
Pseudomonas knackmussii	65741	S	1	0	1	0.00000
Pseudomonas cremoricolorata	157783	S	1	0	1	0.00000
Pseudomonas lurida	244566	S	1	0	1	0.00000
Pseudomonas thivervalensis	86265	S	1	0	1	0.00000
Oblitimonas alkaliphila	1697053	S	3	0	3	0.00000
Permianibacter aggregans	1510150	S	2	0	2	0.00000
Acinetobacter sp. MYb10	1827285	S	5	0	5	0.00000
Acinetobacter sp. TTH0-4	1646498	S	4	0	4	0.00000
Acinetobacter sp. 10FS3-1	2563897	S	2	0	2	0.00000
Acinetobacter sp. M131	1280052	S	2	21	23	0.00000
Acinetobacter sp. Marseille-Q1620	2714110	S	2	0	2	0.00000
Acinetobacter sp. CS-2	2798861	S	1	0	1	0.00000
Acinetobacter sp. WCHAc010052	2004647	S	1	0	1	0.00000
Acinetobacter sp. WCHAc010034	1879049	S	1	0	1	0.00000
Acinetobacter sp. TGL-Y2	1407071	S	1	0	1	0.00000
Acinetobacter junii	40215	S	11	1	12	0.00000
Acinetobacter baumannii	470	S	6	15	21	0.00000
Acinetobacter calcoaceticus	471	S	2	0	2	0.00000
Acinetobacter pittii	48296	S	1	0	1	0.00000
Acinetobacter seifertii	1530123	S	1	0	1	0.00000
Acinetobacter guillouiae	106649	S	7	1	8	0.00000
Acinetobacter haemolyticus	29430	S	5	1	6	0.00000
Acinetobacter ursingii	108980	S	5	0	5	0.00000
Acinetobacter venetianus	52133	S	4	0	4	0.00000
Acinetobacter schindleri	108981	S	4	1	5	0.00000
Acinetobacter johnsonii	40214	S	4	1	5	0.00000
Acinetobacter soli	487316	S	4	0	4	0.00000
Acinetobacter indicus	756892	S	2	0	2	0.00000
Acinetobacter towneri	202956	S	2	1	3	0.00000
Acinetobacter dispersus	70348	S	1	0	1	0.00000
Acinetobacter wuhouensis	1879050	S	1	0	1	0.00000
Acinetobacter cumulans	2136182	S	1	0	1	0.00000
Acinetobacter larvae	1789224	S	1	0	1	0.00000
Acinetobacter equi	1324350	S	1	0	1	0.00000
Acinetobacter oleivorans	1148157	S	1	0	1	0.00000
Acinetobacter gyllenbergii	134534	S	1	0	1	0.00000
Acinetobacter radioresistens	40216	S	1	0	1	0.00000
Acinetobacter bereziniae	106648	S	1	0	1	0.00000
Acinetobacter lwoffii	28090	S	1	0	1	0.00000
Moraxella osloensis	34062	S	36	0	36	0.00000
Moraxella ovis	29433	S	3	0	3	0.00000
Moraxella catarrhalis	480	S	1	0	1	0.00000
Moraxella bovoculi	386891	S	1	0	1	0.00000
Psychrobacter sp. P11F6	1699621	S	2	0	2	0.00000
Psychrobacter sp. 28M-43	2772254	S	2	0	2	0.00000
Psychrobacter sp. DAB_AL43B	1028416	S	2	0	2	0.00000
Psychrobacter sp. KCTC 72983	2733866	S	1	0	1	0.00000
Aquirhabdus parva	2283318	S	2	0	2	0.00000
