name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	14359308	13998	14373306	0.94886
Variovorax sp. PAMC26660	2762322	S	1276	144	1420	0.00009
Variovorax sp. 38R	2774875	S	1195	872	2067	0.00014
Variovorax sp. PAMC 28711	1795631	S	869	56	925	0.00006
Variovorax sp. HW608	1034889	S	800	54	854	0.00006
Variovorax sp. PAMC28562	2762323	S	562	18	580	0.00004
Variovorax sp. RKNM96	2681552	S	544	117	661	0.00004
Variovorax sp. WDL1	207745	S	538	404	942	0.00006
Variovorax sp. RA8	662548	S	487	257	744	0.00005
Variovorax sp. PBS-H4	434008	S	474	177	651	0.00004
Variovorax sp. PBL-H6	434009	S	436	340	776	0.00005
Variovorax sp. PBL-E5	434014	S	200	300	500	0.00003
Variovorax sp. SRS16	282217	S	175	213	388	0.00003
Variovorax sp. PMC12	2126319	S	84	1918	2002	0.00013
Variovorax sp. PDNC026	2811425	S	71	1198	1269	0.00008
Variovorax paradoxus	34073	S	4177	1067	5244	0.00035
Variovorax boronicumulans	436515	S	3116	1638	4754	0.00031
Acidovorax sp. KKS102	358220	S	3983	1480	5463	0.00036
Acidovorax sp. JMULE5	2518343	S	3053	455	3508	0.00023
Acidovorax sp. T1	1858609	S	1498	3057	4555	0.00030
Acidovorax sp. 1608163	2478662	S	1389	151	1540	0.00010
Acidovorax sp. RAC01	1842533	S	1305	470	1775	0.00012
Acidovorax sp. HDW3	2714923	S	786	151	937	0.00006
Acidovorax sp. JS42	232721	S	277	4299	4576	0.00030
Acidovorax carolinensis	553814	S	1826	1013	2839	0.00019
Acidovorax avenae	80867	S	1062	462	1524	0.00010
Acidovorax monticola	1926868	S	742	129	871	0.00006
Acidovorax antarcticus	2743470	S	604	200	804	0.00005
Acidovorax cattleyae	80868	S	321	162	483	0.00003
Acidovorax citrulli	80869	S	258	190	448	0.00003
Acidovorax ebreus	721785	S	130	1103	1233	0.00008
Hydrogenophaga sp. BPS33	2651974	S	996	448	1444	0.00010
Hydrogenophaga sp. RAC07	1842537	S	891	246	1137	0.00008
Hydrogenophaga sp. PBL-H3	434010	S	790	566	1356	0.00009
Hydrogenophaga sp. YM1	2806262	S	661	198	859	0.00006
Hydrogenophaga sp. BA0156	2716225	S	639	248	887	0.00006
Hydrogenophaga sp. PAMC20947	2565558	S	637	19	656	0.00004
Hydrogenophaga sp. PBC	795665	S	578	272	850	0.00006
Hydrogenophaga sp. NH-16	2184519	S	454	673	1127	0.00007
Hydrogenophaga crassostreae	1763535	S	636	17	653	0.00004
Hydrogenophaga pseudoflava	47421	S	443	481	924	0.00006
Rhodoferax sp. AJA081-3	2752316	S	1012	63	1075	0.00007
Rhodoferax sp. BAB1	2741720	S	953	148	1101	0.00007
Rhodoferax sp. PAMC29310	2822760	S	545	61	606	0.00004
Rhodoferax koreense	1842727	S	1348	631	1979	0.00013
Rhodoferax sediminis	2509614	S	1102	83	1185	0.00008
Rhodoferax saidenbachensis	1484693	S	846	66	912	0.00006
Rhodoferax antarcticus	81479	S	595	30	625	0.00004
Rhodoferax ferrireducens	192843	S	595	27	622	0.00004
Comamonas testosteroni	285	S	1581	1446	3027	0.00020
Comamonas aquatica	225991	S	1257	297	1554	0.00010
Comamonas serinivorans	1082851	S	639	77	716	0.00005
Comamonas koreensis	160825	S	603	107	710	0.00005
Comamonas thiooxydans	363952	S	596	554	1150	0.00008
Comamonas kerstersii	225992	S	574	121	695	0.00005
Comamonas sp. NLF-7-7	2597701	S	459	117	576	0.00004
Comamonas sp. 7D-2	1232667	S	3	55	58	0.00000
Comamonas piscis	1562974	S	395	37	432	0.00003
Diaphorobacter sp. HDW4A	2714924	S	4403	2570	6973	0.00046
Diaphorobacter sp. HDW4B	2714925	S	525	27	552	0.00004
Diaphorobacter sp. JS3051	2792224	S	100	1587	1687	0.00011
Diaphorobacter sp. JS3050	2735554	S	79	1259	1338	0.00009
Diaphorobacter aerolatus	1288495	S	1170	1041	2211	0.00015
Diaphorobacter ruginosibacter	1715720	S	402	33	435	0.00003
Diaphorobacter polyhydroxybutyrativorans	1546149	S	173	986	1159	0.00008
Delftia acidovorans	80866	S	1293	1928	3221	0.00021
Delftia sp. Cs1-4	742013	S	167	321	488	0.00003
Delftia sp. HK171	1920191	S	68	148	216	0.00001
Delftia sp. KV29	1170710	S	20	1817	1837	0.00012
Delftia lacustris	558537	S	248	1080	1328	0.00009
Delftia tsuruhatensis	180282	S	177	577	754	0.00005
Polaromonas sp. JS666	296591	S	856	41	897	0.00006
Polaromonas sp. W9N	1840323	S	27	0	27	0.00000
Polaromonas sp.	1869339	S	23	21	44	0.00000
Polaromonas sp. H8N	1840297	S	21	3	24	0.00000
Polaromonas sp. H6N	1840293	S	3	0	3	0.00000
Polaromonas sp. E10S	1840239	S	2	7	9	0.00000
Polaromonas sp. W10N	1840301	S	2	0	2	0.00000
Polaromonas sp. W11N	1840303	S	2	0	2	0.00000
Polaromonas sp. E3S	1840265	S	1	3	4	0.00000
Polaromonas sp. SP1	2268087	S	1	794	795	0.00005
Polaromonas naphthalenivorans	216465	S	983	113	1096	0.00007
Polaromonas vacuolata	37448	S	197	39	236	0.00002
Ottowia oryzae	2109914	S	1407	130	1537	0.00010
Ottowia sp. 27C	2816950	S	788	59	847	0.00006
Ottowia sp. oral taxon 894	1658672	S	361	18	379	0.00003
Kinneretia sp. DAIF2	2714952	S	2412	384	2796	0.00018
Alicycliphilus denitrificans	179636	S	1965	3440	5405	0.00036
Limnohabitans sp. 63ED37-2	1678128	S	1349	96	1445	0.00010
Limnohabitans sp. 103DPR2	1678129	S	306	16	322	0.00002
Schlegelella thermodepolymerans	215580	S	1551	318	1869	0.00012
Ramlibacter tataouinensis	94132	S	1234	130	1364	0.00009
Curvibacter sp. AEP1-3	1844971	S	1163	39	1202	0.00008
Simplicispira suum	2109915	S	659	143	802	0.00005
Pulveribacter suum	2116657	S	654	116	770	0.00005
Serpentinomonas raichei	1458425	S	286	67	353	0.00002
Serpentinomonas mccroryi	1458426	S	273	64	337	0.00002
Melaminivora sp. SC2-9	2109913	S	567	218	785	0.00005
Hylemonella gracilis	80880	S	559	32	591	0.00004
Verminephrobacter eiseniae	364317	S	539	19	558	0.00004
Candidatus Symbiobacter mobilis	1436290	S	164	1	165	0.00001
Aquabacterium olei	1296669	S	27600	5173	32773	0.00216
Rhizobacter sp. AJA081-3	2753607	S	2041	354	2395	0.00016
Rhizobacter gummiphilus	946333	S	1530	211	1741	0.00011
Methylibium petroleiphilum	105560	S	744	569	1313	0.00009
Methylibium sp. Pch-M	2082386	S	568	506	1074	0.00007
Methylibium sp. T29	1430884	S	29	73	102	0.00001
Paucibacter sp. KCTC 42545	1768242	S	2071	283	2354	0.00016
Sphaerotilus natans	34103	S	1836	432	2268	0.00015
Leptothrix cholodnii	34029	S	1579	344	1923	0.00013
Rubrivivax gelatinosus	28068	S	1482	306	1788	0.00012
Roseateles depolymerans	76731	S	1482	211	1693	0.00011
Mitsuaria sp. 7	1658665	S	1331	206	1537	0.00010
Inhella inkyongensis	392593	S	1171	127	1298	0.00009
Thiomonas sp. X19	1050370	S	354	11	365	0.00002
Thiomonas sp. OC7	2493107	S	2	489	491	0.00003
Thiomonas intermedia	926	S	270	54	324	0.00002
Thiomonas arsenitoxydans	426114	S	71	12	83	0.00001
Xylophilus rhododendri	2697032	S	536	106	642	0.00004
Burkholderia multivorans	87883	S	322	111	433	0.00003
Burkholderia cenocepacia	95486	S	233	383	616	0.00004
Burkholderia cepacia	292	S	144	129	273	0.00002
Burkholderia contaminans	488447	S	143	78	221	0.00001
Burkholderia lata	482957	S	124	63	187	0.00001
Burkholderia anthina	179879	S	122	80	202	0.00001
Burkholderia ubonensis	101571	S	115	214	329	0.00002
Burkholderia stabilis	95485	S	94	56	150	0.00001
Burkholderia vietnamiensis	60552	S	81	179	260	0.00002
Burkholderia territorii	1503055	S	71	29	100	0.00001
Burkholderia stagnalis	1503054	S	54	21	75	0.00000
Burkholderia seminalis	488731	S	46	18	64	0.00000
Burkholderia latens	488446	S	42	93	135	0.00001
Burkholderia pyrrocinia	60550	S	42	19	61	0.00000
Burkholderia metallica	488729	S	36	14	50	0.00000
Burkholderia pseudomultivorans	1207504	S	34	36	70	0.00000
Burkholderia ambifaria	152480	S	25	17	42	0.00000
Burkholderia diffusa	488732	S	16	6	22	0.00000
Burkholderia sp. DHOD12	2571746	S	132	9	141	0.00001
Burkholderia sp. THE68	758782	S	120	12	132	0.00001
Burkholderia sp. Bp7605	1740163	S	77	6	83	0.00001
Burkholderia sp. CCGE1003	640512	S	75	15	90	0.00001
Burkholderia sp. PAMC 26561	1795043	S	61	41	102	0.00001
Burkholderia sp. KK1	1855726	S	54	62	116	0.00001
Burkholderia sp. JP2-270	2217913	S	39	19	58	0.00000
Burkholderia sp. MS389	2811789	S	36	16	52	0.00000
Burkholderia sp. YI23	1097668	S	36	52	88	0.00001
Burkholderia sp. PAMC 28687	1795874	S	32	38	70	0.00000
Burkholderia sp. RPE67	758796	S	31	43	74	0.00000
Burkholderia sp. NRF60-BP8	1637853	S	23	9	32	0.00000
Burkholderia sp. MSMB0856	1637869	S	23	11	34	0.00000
Burkholderia sp. IDO3	1705310	S	18	22	40	0.00000
Burkholderia sp. LA-2-3-30-S1-D2	1637862	S	17	7	24	0.00000
Burkholderia sp. KBS0801	1179675	S	9	13	22	0.00000
Burkholderia sp. MS455	2811788	S	7	3	10	0.00000
Burkholderia sp. MBR-1	2732364	S	6	19	25	0.00000
Burkholderia sp. 2002721687	1468409	S	2	642	644	0.00004
Burkholderia pseudomallei	28450	S	339	570	909	0.00006
Burkholderia thailandensis	57975	S	89	99	188	0.00001
Burkholderia oklahomensis	342113	S	55	11	66	0.00000
Burkholderia sp. BDU8	1385592	S	40	6	46	0.00000
Burkholderia sp. MSMB0852	1637841	S	30	36	66	0.00000
Burkholderia sp. BDU6	1385591	S	23	4	27	0.00000
Burkholderia sp. MSMB617WGS	1637831	S	18	29	47	0.00000
Burkholderia sp. MSMB0266	1637837	S	8	6	14	0.00000
Burkholderia sp. MSMB1588	1636423	S	4	7	11	0.00000
Burkholderia mallei	13373	S	3	17	20	0.00000
Burkholderia gladioli	28095	S	340	48	388	0.00003
Burkholderia glumae	337	S	176	29	205	0.00001
Burkholderia plantarii	41899	S	159	21	180	0.00001
Cupriavidus taiwanensis	164546	S	964	488	1452	0.00010
Cupriavidus basilensis	68895	S	609	248	857	0.00006
Cupriavidus necator	106590	S	485	109	594	0.00004
Cupriavidus pauculus	82633	S	380	80	460	0.00003
Cupriavidus metallidurans	119219	S	353	251	604	0.00004
Cupriavidus oxalaticus	96344	S	346	108	454	0.00003
Cupriavidus campinensis	151783	S	254	86	340	0.00002
Cupriavidus pinatubonensis	248026	S	228	116	344	0.00002
Cupriavidus sp. USMAA2-4	876364	S	39	194	233	0.00002
Cupriavidus sp. USMAHM13	1389192	S	24	121	145	0.00001
Cupriavidus sp. ISTL7	2771360	S	24	128	152	0.00001
Cupriavidus neocaledonicus	1040979	S	76	65	141	0.00001
Cupriavidus gilardii	82541	S	43	132	175	0.00001
Cupriavidus nantongensis	1796606	S	41	63	104	0.00001
Cupriavidus malaysiensis	367825	S	28	152	180	0.00001
Ralstonia solanacearum	305	S	805	438	1243	0.00008
Ralstonia pickettii	329	S	596	258	854	0.00006
Ralstonia insidiosa	190721	S	377	111	488	0.00003
Ralstonia mannitolilytica	105219	S	350	210	560	0.00004
blood disease bacterium A2-HR MARDI	1944648	S	17	612	629	0.00004
Ralstonia pseudosolanacearum	1310165	S	12	29	41	0.00000
