name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Cutibacterium acnes	1747	S	6020	252	6272	0.1455456803
Staphylococcus cohnii	29382	S	1015	105	1120	0.0259903000
Klebsiella pneumoniae	573	S	616	489	1105	0.0256422157
Dermacoccus nishinomiyaensis	1274	S	872	51	923	0.0214187919
Xanthomonas euvesicatoria	456327	S	37	791	828	0.0192142575
Acinetobacter junii	40215	S	492	49	541	0.0125542431
Kocuria rhizophila	72000	S	371	53	424	0.0098391850
Streptomyces lividans	1916	S	175	246	421	0.0097695681
Bacillus cereus	1396	S	203	172	375	0.0087021094
Ralstonia solanacearum	305	S	297	39	336	0.0077970900
Acidovorax sp. KKS102	358220	S	249	57	306	0.0071009213
Variovorax paradoxus	34073	S	255	50	305	0.0070777156
Moraxella osloensis	34062	S	280	7	287	0.0066600144
Diaphorobacter sp. HDW4A	2714924	S	206	65	271	0.0062887244
Pseudomonas sp. CMR12a	658629	S	197	62	259	0.0060102569
Paenibacillus larvae	1464	S	1	239	240	0.0055693500
Variovorax boronicumulans	436515	S	159	69	228	0.0052908825
Rhodococcus qingshengii	334542	S	37	157	194	0.0045018913
Propionibacterium sp. oral taxon 193	671223	S	174	15	189	0.0043858631
Spirosoma sp. KUDC1026	2745947	S	184	5	189	0.0043858631
Acidovorax sp. JMULE5	2518343	S	166	19	185	0.0042930406
Staphylococcus epidermidis	1282	S	144	15	159	0.0036896944
Rhodococcus erythropolis	1833	S	38	118	156	0.0036200775
Staphylococcus capitis	29388	S	137	13	150	0.0034808438
Pseudomonas aeruginosa	287	S	46	102	148	0.0034344325
Burkholderia pseudomallei	28450	S	28	116	144	0.0033416100
Variovorax sp. PMC12	2126319	S	6	130	136	0.0031559650
Streptococcus thermophilus	1308	S	110	23	133	0.0030863481
Janibacter indicus	857417	S	87	45	132	0.0030631425
Paenarthrobacter sp. YJN-D	2735317	S	113	10	123	0.0028542919
Acidovorax sp. JS42	232721	S	9	112	121	0.0028078806
Diaphorobacter aerolatus	1288495	S	80	36	116	0.0026918525
Priestia megaterium	1404	S	90	26	116	0.0026918525
Variovorax sp. 38R	2774875	S	70	42	112	0.0025990300
Pedobacter sp. SW-16	2766984	S	95	16	111	0.0025758244
Pseudomonas putida	303	S	62	47	109	0.0025294131
Lawsonella clevelandensis	1528099	S	106	3	109	0.0025294131
Variovorax sp. PAMC 28711	1795631	S	103	4	107	0.0024830019
Halomonas sp. JS92-SW72	2306583	S	99	6	105	0.0024365906
Methylorubrum extorquens	408	S	53	51	104	0.0024133850
Gordonia bronchialis	2054	S	97	7	104	0.0024133850
Stenotrophomonas maltophilia	40324	S	64	39	103	0.0023901794
Acidovorax sp. T1	1858609	S	45	57	102	0.0023669738
Acinetobacter baumannii	470	S	34	66	100	0.0023205625
Kinneretia sp. DAIF2	2714952	S	89	8	97	0.0022509456
Micrococcus luteus	1270	S	66	28	94	0.0021813288
Janthinobacterium sp. HH102	1537274	S	44	49	93	0.0021581231
Janthinobacterium agaricidamnosum	55508	S	51	42	93	0.0021581231
Acidovorax carolinensis	553814	S	65	27	92	0.0021349175
Paracoccus yeei	147645	S	52	33	85	0.0019724781
Sphingobium yanoikuyae	13690	S	48	33	81	0.0018796556
Staphylococcus warneri	1292	S	66	15	81	0.0018796556
Salmonella phage TS13	2500149	S	78	1	79	0.0018332444
Delftia acidovorans	80866	S	38	40	78	0.0018100388
Cutibacterium avidum	33010	S	73	3	76	0.0017636275
Corynebacterium kefirresidentii	1979527	S	62	14	76	0.0017636275
Pseudomonas fluorescens	294	S	54	21	75	0.0017404219
Pasteurella multocida	747	S	62	13	75	0.0017404219
Alicycliphilus denitrificans	179636	S	36	38	74	0.0017172163
Paracoccus sanguinis	1545044	S	67	6	73	0.0016940106
Urbifossiella limnaea	2528023	S	69	4	73	0.0016940106
Staphylococcus virus Andhra	2732591	S	73	0	73	0.0016940106
Flavobacterium phage vB_FspS_filifjonk9-1	2686245	S	33	37	70	0.0016243938
Rhizobacter sp. AJA081-3	2753607	S	60	9	69	0.0016011881
Acaryochloris marina	155978	S	66	1	67	0.0015547769
Variovorax sp. PAMC26660	2762322	S	61	5	66	0.0015315713
Bacillus thuringiensis	1428	S	14	52	66	0.0015315713
Staphylococcus aureus	1280	S	37	27	64	0.0014851600
Hydrogenophaga sp. BPS33	2651974	S	47	16	63	0.0014619544
Limnohabitans sp. 63ED37-2	1678128	S	60	3	63	0.0014619544
Lysobacter enzymogenes	69	S	58	5	63	0.0014619544
Pseudomonas tolaasii	29442	S	56	6	62	0.0014387488
Sphingomonas melonis	152682	S	26	34	60	0.0013923375
Rhodococcus sp. YL-1	1045808	S	13	47	60	0.0013923375
Janthinobacterium sp. LM6	1938606	S	46	13	59	0.0013691319
Escherichia coli	562	S	18	38	56	0.0012995150
Acidovorax sp. RAC01	1842533	S	45	10	55	0.0012763094
Rhodoferax sediminis	2509614	S	52	3	55	0.0012763094
Polynucleobacter difficilis	556054	S	54	1	55	0.0012763094
Bradyrhizobium diazoefficiens	1355477	S	21	32	53	0.0012298981
Comamonas testosteroni	285	S	31	21	52	0.0012066925
Lactococcus lactis	1358	S	31	21	52	0.0012066925
Hymenobacter sp. APR13	1356852	S	41	11	52	0.0012066925
Flavobacterium phage vB_FspS_lillamy9-1	2686251	S	2	50	52	0.0012066925
Methylobacterium durans	2202825	S	48	3	51	0.0011834869
Clostridium botulinum	1491	S	43	8	51	0.0011834869
Rhodoferax koreense	1842727	S	38	12	50	0.0011602813
Methylobacterium sp. C1	1479019	S	8	42	50	0.0011602813
Methylobacterium aquaticum	270351	S	40	10	50	0.0011602813
Methylorubrum populi	223967	S	37	13	50	0.0011602813
Variovorax sp. RKNM96	2681552	S	41	7	48	0.0011138700
Rubrivivax gelatinosus	28068	S	41	7	48	0.0011138700
Bradyrhizobium sp. CCBAU 51765	1325102	S	37	11	48	0.0011138700
Curtobacterium flaccumfaciens	2035	S	46	2	48	0.0011138700
Acinetobacter ursingii	108980	S	41	6	47	0.0010906644
Rhodopseudomonas palustris	1076	S	37	10	47	0.0010906644
Sorangium cellulosum	56	S	44	3	47	0.0010906644
Corynebacterium segmentosum	43990	S	45	2	47	0.0010906644
Paucibacter sp. KCTC 42545	1768242	S	42	4	46	0.0010674588
Aquabacterium olei	1296669	S	40	6	46	0.0010674588
Pseudomonas stutzeri	316	S	42	4	46	0.0010674588
Buchnera aphidicola	9	S	47	-1	46	0.0010674588
Epilithonimonas vandammei	2487072	S	22	23	45	0.0010442531
Sphaerotilus natans	34103	S	37	7	44	0.0010210475
