name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Aquabacterium olei	1296669	S	27600	5173	32773	0.0424777132
Oscillatoria nigro-viridis	482564	S	21783	648	22431	0.0290732489
Pseudomonas sp. CMR12a	658629	S	12030	1339	13369	0.0173278171
Cutibacterium acnes	1747	S	8844	891	9735	0.0126177200
Bacillus cereus	1396	S	3804	4408	8212	0.0106437305
Abyssicoccus albus	1817405	S	7230	500	7730	0.0100190011
Paenibacillus larvae	1464	S	33	7501	7534	0.0097649618
Acinetobacter junii	40215	S	6091	1006	7097	0.0091985577
Diaphorobacter sp. HDW4A	2714924	S	4403	2570	6973	0.0090378389
Acidovorax sp. KKS102	358220	S	3983	1480	5463	0.0070806990
Alicycliphilus denitrificans	179636	S	1965	3440	5405	0.0070055241
Variovorax paradoxus	34073	S	4177	1067	5244	0.0067968489
Staphylococcus cohnii	29382	S	3731	1063	4794	0.0062135953
Xanthomonas euvesicatoria	456327	S	61	4694	4755	0.0061630466
Variovorax boronicumulans	436515	S	3116	1638	4754	0.0061617505
Acidovorax sp. JS42	232721	S	277	4299	4576	0.0059310413
Acidovorax sp. T1	1858609	S	1498	3057	4555	0.0059038228
Staphylococcus haemolyticus	1283	S	3435	959	4394	0.0056951476
Pseudomonas aeruginosa	287	S	1034	3128	4162	0.0053944479
Klebsiella pneumoniae	573	S	1307	2769	4076	0.0052829817
Streptomyces lividans	1916	S	338	3443	3781	0.0049006265
Aulosira laxa	1541975	S	8	3622	3630	0.0047049126
Rhodococcus qingshengii	334542	S	721	2847	3568	0.0046245532
Acidovorax sp. JMULE5	2518343	S	3053	455	3508	0.0045467860
Delftia acidovorans	80866	S	1293	1928	3221	0.0041747998
Comamonas testosteroni	285	S	1581	1446	3027	0.0039233527
Staphylococcus aureus	1280	S	481	2367	2848	0.0036913474
Acidovorax carolinensis	553814	S	1826	1013	2839	0.0036796823
Kinneretia sp. DAIF2	2714952	S	2412	384	2796	0.0036239492
Rhodococcus erythropolis	1833	S	718	1972	2690	0.0034865605
Priestia megaterium	1404	S	1883	697	2580	0.0033439874
Pseudomonas sp. THAF187a	2587863	S	1	2577	2578	0.0033413952
Rhizobacter sp. AJA081-3	2753607	S	2041	354	2395	0.0031042054
Spirosoma sp. KUDC1026	2745947	S	2305	72	2377	0.0030808752
Paucibacter sp. KCTC 42545	1768242	S	2071	283	2354	0.0030510645
Sphaerotilus natans	34103	S	1836	432	2268	0.0029395983
Diaphorobacter aerolatus	1288495	S	1170	1041	2211	0.0028657195
Escherichia coli	562	S	336	1869	2205	0.0028579427
