name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Limosilactobacillus fermentum	1613	S	8891516	299919	9191435	0.1493187021
Salmonella enterica	28901	S	2847454	6031894	8879348	0.1442487184
Staphylococcus aureus	1280	S	2549151	5267255	7816406	0.1269807815
Listeria monocytogenes	1639	S	7118068	642601	7760669	0.1260753106
Enterococcus faecalis	1351	S	7306553	279653	7586206	0.1232410863
Escherichia coli	562	S	1396988	4912643	6309631	0.1025025920
Pseudomonas aeruginosa	287	S	1917879	3449705	5367584	0.0871986449
Bacillus intestinalis	1963032	S	6708	4059840	4066548	0.0660627714
Bacillus subtilis	1423	S	112370	1495574	1607944	0.0261217221
Bacillus spizizenii	96241	S	14673	872890	887563	0.0144188318
Bacillus sp. KBS0812	2582827	S	13	283386	283399	0.0046039352
Bacillus cereus	1396	S	10115	197261	207376	0.0033689098
Shigella sp. PAMC 28760	1813821	S	80	156749	156829	0.0025477526
Bacillus sp. HNA3	2585772	S	190	136288	136478	0.0022171421
Bacillus velezensis	492670	S	5865	124209	130074	0.0021131065
Bacillus vallismortis	72361	S	47378	47822	95200	0.0015465638
Staphylococcus sp. SM9054	2807624	S	10	90517	90527	0.0014706489
Staphylococcus sp. SM3655	2807625	S	30	61034	61064	0.0009920102
Bacillus sp. BH072	1570330	S	38	57726	57764	0.0009384003
Bacillus sp. WR11	2448811	S	552	55852	56404	0.0009163065
Bacillus inaquosorum	483913	S	8572	43600	52172	0.0008475559
Bacillus atrophaeus	1452	S	4735	43369	48104	0.0007814696
Shigella sonnei	624	S	457	38272	38729	0.0006291688
Bacillus amyloliquefaciens	1390	S	1459	28838	30297	0.0004921874
Bacillus tequilensis	227866	S	27044	3041	30085	0.0004887434
Bacillus thuringiensis	1428	S	409	28373	28782	0.0004675756
Bacillus halotolerans	260554	S	5523	17017	22540	0.0003661717
Salmonella sp. SAL-007	2816952	S	9	20866	20875	0.0003391231
Bacillus mojavensis	72360	S	13030	7745	20775	0.0003374986
Bacillus sp. Lzh-5	2049935	S	11	17726	17737	0.0002881450
Bacillus sp. LM 4-2	1628753	S	14	16794	16808	0.0002730530
Bacillus sp. MBGLi79	2070759	S	3189	13363	16552	0.0002688942
Shigella boydii	621	S	2827	12389	15216	0.0002471903
Shigella flexneri	623	S	2512	12570	15082	0.0002450134
Vibrio anguillarum	55601	S	14740	31	14771	0.0002399611
Streptococcus agalactiae	1311	S	11265	1161	12426	0.0002018656
Bacillus sp. PAMC26543	2762329	S	1299	10021	11320	0.0001838981
Enterococcus faecium	1352	S	7743	3044	10787	0.0001752393
Klebsiella pneumoniae	573	S	6400	3972	10372	0.0001684975
Bacillus sp. JS	1127744	S	1293	8265	9558	0.0001552737
Bacillus sp. MD-5	2009331	S	1380	8132	9512	0.0001545264
Citrobacter freundii	546	S	4919	4574	9493	0.0001542178
Bacillus anthracis	1392	S	200	9212	9412	0.0001529019
Staphylococcus schweitzeri	1654388	S	8460	514	8974	0.0001457864
Escherichia fergusonii	564	S	4379	3449	7828	0.0001271691
Staphylococcus saprophyticus	29385	S	7425	210	7635	0.0001240338
Escherichia albertii	208962	S	6755	753	7508	0.0001219706
Salmonella sp. SSDFZ54	2500542	S	551	6884	7435	0.0001207847
Shigella dysenteriae	622	S	2796	4623	7419	0.0001205248
Listeria innocua	1642	S	6615	713	7328	0.0001190464
Actinomyces oris	544580	S	7108	43	7151	0.0001161710
Staphylococcus sp. T93	2799681	S	49	6908	6957	0.0001130194
Salmonella sp. SJTUF14170	2745894	S	16	6546	6562	0.0001066024
Escherichia marmotae	1499973	S	5330	481	5811	0.0000944021
Salmonella bongori	54736	S	4978	694	5672	0.0000921440
Staphylococcus argenteus	985002	S	2823	2791	5614	0.0000912018
Salmonella sp. SJTUF14178	2745895	S	16	5347	5363	0.0000871242
Staphylococcus simiae	308354	S	5226	47	5273	0.0000856621
Listeria welshimeri	1643	S	4428	346	4774	0.0000775556
Escherichia sp. E4742	2044467	S	3858	532	4390	0.0000713174
Enterobacter hormaechei	158836	S	2355	1979	4334	0.0000704076
Bacillus sp. LJBS06	2809036	S	557	3742	4299	0.0000698391
Salmonella sp. SAL-020	2816953	S	11	4220	4231	0.0000687344
Listeria ivanovii	1638	S	3848	246	4094	0.0000665087
Bacillus sp. FJAT-14266	1837130	S	31	4049	4080	0.0000662813
Bacillus sp. DM2	2267265	S	33	3726	3759	0.0000610665
Enterobacteria phage UAB_Phi20	876449	S	464	3292	3756	0.0000610178
Halomonas sp. JS92-SW72	2306583	S	3679	75	3754	0.0000609853
Bacillus siamensis	659243	S	664	2679	3343	0.0000543084
Bacillus altitudinis	293387	S	471	2362	2833	0.0000460233
Salmonella sp. SAL-045	2816951	S	6	2747	2753	0.0000447236
Salmonella sp. SJTUF14152	2745892	S	29	2713	2742	0.0000445449
Salmonella sp. SJTUF14146	2745891	S	8	2668	2676	0.0000434727
Bacillus sp. YP1	1574141	S	18	2436	2454	0.0000398663
Listeria seeligeri	1640	S	2376	74	2450	0.0000398013
Staphylococcus cohnii	29382	S	1988	317	2305	0.0000374457
Xanthomonas euvesicatoria	456327	S	826	1472	2298	0.0000373320
Staphylococcus virus Andhra	2732591	S	2102	0	2102	0.0000341479
Pseudomonas sp. FDAARGOS_761	2545800	S	222	1840	2062	0.0000334981
Bacillus licheniformis	1402	S	95	1877	1972	0.0000320360
Salmonella sp. SJTUF14076	2745890	S	9	1864	1873	0.0000304277
Limosilactobacillus reuteri	1598	S	1807	48	1855	0.0000301353
Lactiplantibacillus plantarum	1590	S	975	841	1816	0.0000295017
Alcanivorax sp. N3-2A	2014542	S	1663	24	1687	0.0000274060
Bacillus sp. ZY-1-1	2093834	S	21	1631	1652	0.0000268374
Staphylococcus epidermidis	1282	S	1528	52	1580	0.0000256678
Pseudomonas putida	303	S	1168	375	1543	0.0000250667
Bacillus safensis	561879	S	504	1029	1533	0.0000249042
Streptomyces lividans	1916	S	1284	185	1469	0.0000238645
Enterobacter cloacae	550	S	1127	338	1465	0.0000237995
Staphylococcus hominis	1290	S	1409	41	1450	0.0000235559
Bacillus sp. NSP9.1	1071078	S	1350	35	1385	0.0000224999
Raoultella ornithinolytica	54291	S	881	494	1375	0.0000223374
Pseudomonas stutzeri	316	S	1267	106	1373	0.0000223050
Lactobacillus delbrueckii	1584	S	1262	81	1343	0.0000218176
Serratia marcescens	615	S	1275	56	1331	0.0000216227
Staphylococcus saccharolyticus	33028	S	1245	9	1254	0.0000203718
Streptomyces cyaneochromogenes	2496836	S	1235	2	1237	0.0000200956
Clostridium botulinum	1491	S	1182	47	1229	0.0000199656
Bacillus glycinifermentans	1664069	S	1142	85	1227	0.0000199331
Pseudomonas tolaasii	29442	S	1110	73	1183	0.0000192183
Staphylococcus capitis	29388	S	1128	33	1161	0.0000188609
Escherichia sp. SCLE84	2725997	S	55	1081	1136	0.0000184548
Pseudomonas fluorescens	294	S	891	199	1090	0.0000177075
Bacillus pumilus	1408	S	565	513	1078	0.0000175126
Spirosoma pollinicola	2057025	S	1066	5	1071	0.0000173988
Staphylococcus warneri	1292	S	890	164	1054	0.0000171227
Enterobacter roggenkampii	1812935	S	706	329	1035	0.0000168140
Staphylococcus pasteuri	45972	S	965	36	1001	0.0000162617
Staphylococcus haemolyticus	1283	S	961	34	995	0.0000161642
Cutibacterium acnes	1747	S	950	25	975	0.0000158393
Pseudomonas syringae	317	S	173	763	936	0.0000152057
Bacillus paralicheniformis	1648923	S	591	340	931	0.0000151245
Bacillus sonorensis	119858	S	838	78	916	0.0000148808
Weissella paramesenteroides	1249	S	886	19	905	0.0000147021
Hydrogenophaga sp. NH-16	2184519	S	814	80	894	0.0000145234
Enterococcus sp. DA9	2603296	S	339	541	880	0.0000142960
Staphylococcus lugdunensis	28035	S	866	11	877	0.0000142472
Bacillus mycoides	1405	S	692	122	814	0.0000132238
Citrobacter sp. RHB25-C09	2742624	S	774	22	796	0.0000129314
Staphylococcus debuckii	2044912	S	779	10	789	0.0000128176
Salmonella sp. SSDFZ69	2500543	S	162	617	779	0.0000126552
Citrobacter portucalensis	1639133	S	272	496	768	0.0000124765
Staphylococcus caprae	29380	S	721	17	738	0.0000119891
Priestia megaterium	1404	S	299	432	731	0.0000118754
Citrobacter amalonaticus	35703	S	507	205	712	0.0000115667
Lacticaseibacillus paracasei	1597	S	652	49	701	0.0000113880
Pseudomonas chlororaphis	587753	S	574	85	659	0.0000107057
[Enterobacter] lignolyticus	1334193	S	627	18	645	0.0000104783
Raoultella sp. XY-1	2799495	S	165	459	624	0.0000101371
Salmonella sp. SJTUF14154	2745893	S	8	598	606	0.0000098447
Klebsiella aerogenes	548	S	574	32	606	0.0000098447
Enterobacter kobei	208224	S	338	259	597	0.0000096985
Bacillus sp. PAMC28748	2762328	S	3	592	595	0.0000096660
Pseudomonas sp. ADAK21	2730850	S	1	572	573	0.0000093086
Listeria weihenstephanensis	1006155	S	555	1	556	0.0000090325
Citrobacter youngae	133448	S	252	283	535	0.0000086913
Staphylococcus nepalensis	214473	S	523	8	531	0.0000086263
Salmonella sp. SCFS4	2725417	S	10	517	527	0.0000085613
Enterobacter asburiae	61645	S	376	150	526	0.0000085451
Stenotrophomonas maltophilia	40324	S	84	442	526	0.0000085451
Staphylococcus simulans	1286	S	494	6	500	0.0000081227
Enterobacter sp. SA187	1914861	S	496	4	500	0.0000081227
Klebsiella quasipneumoniae	1463165	S	352	147	499	0.0000081065
Kosakonia cowanii	208223	S	261	226	487	0.0000079115
Aquareovirus A	56094	S	480	0	480	0.0000077978
Yokenella regensburgei	158877	S	454	12	466	0.0000075704
Pseudomonas mendocina	300	S	443	18	461	0.0000074891
Pseudomonas knackmussii	65741	S	447	10	457	0.0000074242
Cupriavidus pauculus	82633	S	439	8	447	0.0000072617
Citrobacter sp. R56	1573676	S	423	10	433	0.0000070343
Leclercia adecarboxylata	83655	S	226	204	430	0.0000069855
Listeria grayi	1641	S	425	3	428	0.0000069530
Klebsiella variicola	244366	S	336	91	427	0.0000069368
Staphylococcus felis	46127	S	423	3	426	0.0000069205
Staphylococcus sp. 17KM0847	2583989	S	416	3	419	0.0000068068
Pseudomonas sp. TUM18999	2725477	S	386	11	397	0.0000064494
Bacillus sp. OxB-1	98228	S	392	1	393	0.0000063844
Citrobacter rodentium	67825	S	371	14	385	0.0000062545
Bacillus haynesii	1925021	S	269	112	381	0.0000061895
Citrobacter werkmanii	67827	S	252	129	381	0.0000061895
Scandinavium goeteborgense	1851514	S	377	3	380	0.0000061733
Klebsiella oxytoca	571	S	350	29	379	0.0000061570
Oenococcus oeni	1247	S	368	7	375	0.0000060920
Desulfovibrio piger	901	S	360	6	366	0.0000059458
Bacillus gobiensis	1441095	S	363	1	364	0.0000059133
Salmonella phage TS13	2500149	S	354	0	354	0.0000057509
Jejubacter calystegiae	2579935	S	351	1	352	0.0000057184
Pseudomonas sp. PDNC002	2811422	S	336	16	352	0.0000057184
Enterobacter ludwigii	299767	S	228	123	351	0.0000057021
Tetragenococcus halophilus	51669	S	342	4	346	0.0000056209
Cedecea neteri	158822	S	325	20	345	0.0000056047
Enterobacter sp. 638	399742	S	332	10	342	0.0000055559
Enterobacter sp. JUb54	2724468	S	334	7	341	0.0000055397
Leclercia sp. 4-9-1-25	2815358	S	332	8	340	0.0000055234
Pseudomonas sp. ATCC 13867	1294143	S	321	14	335	0.0000054422
Pseudomonas protegens	380021	S	317	13	330	0.0000053610
Klebsiella michiganensis	1134687	S	223	103	326	0.0000052960
Pseudomonas otitidis	319939	S	321	5	326	0.0000052960
Staphylococcus xylosus	1288	S	318	5	323	0.0000052473
Staphylococcus kloosii	29384	S	311	5	316	0.0000051336
Selenomonas ruminantium	971	S	311	5	316	0.0000051336
Enterococcus cecorum	44008	S	310	4	314	0.0000051011
Staphylococcus pseudintermedius	283734	S	283	24	307	0.0000049873
Yersinia pestis	632	S	64	240	304	0.0000049386
Staphylococcus arlettae	29378	S	292	11	303	0.0000049224
Enterobacter sp. RHBSTW-00994	2742676	S	289	6	295	0.0000047924
