"Name","Number of raw reads","Classified reads","Chordate reads","Artificial reads","Unclassified reads","Microbial reads","Bacterial reads","Viral reads","Fungal reads","Protozoan reads"
"146_S4","87,793,574","86,650,119","86,555,134","0","1,143,455","93,794","73,486","327","0","0"
"173_S5","128,835,627","128,032,977","127,958,207","0","802,650","73,443","52,595","227","0","0"
"212_S6","138,312,030","138,216,935","138,186,433","0","95,095","28,930","1,439","48","0","0"
"213_S7","115,641,845","115,397,153","115,359,769","0","244,692","35,411","10,878","376","0","0"
"216_S8","110,472,476","110,180,639","110,139,365","0","291,837","39,088","15,900","950","0","0"
"220_S9","217,313,826","216,991,123","216,935,837","0","322,703","52,441","14,536","215","0","0"
"226_S10","87,021,049","86,004,965","85,904,850","0","1,016,084","99,055","67,596","284","0","0"
"229_S1","74,537,944","72,920,225","72,753,163","0","1,617,719","165,502","136,093","904","0","0"
"265_S2","201,621,936","201,430,354","201,388,041","0","191,582","40,244","3,493","141","0","0"
"293_S3","200,821,295","200,429,810","200,382,054","0","391,485","45,452","12,424","223","0","0"
"335_S1","108,527,806","106,516,775","106,369,502","0","2,011,031","145,914","119,877","586","0","0"
"338_S2","110,951,752","109,977,903","109,888,342","0","973,849","88,290","55,041","404","0","0"
"340_S3","115,519,459","114,292,644","114,191,362","0","1,226,815","99,277","67,539","538","0","0"
"361_S4","91,388,336","91,172,747","91,150,202","0","215,589","21,521","6,737","101","0","0"
"381_S5","155,655,997","154,505,678","154,428,676","0","1,150,319","74,122","39,608","1,567","0","0"
"383_S6","123,171,188","122,520,769","122,468,172","0","650,419","51,124","22,857","362","0","0"
"387_S7","128,214,134","127,834,486","127,794,740","0","379,648","38,420","9,967","199","0","0"
"389_S8","79,263,076","78,865,795","78,828,912","0","397,281","35,770","16,825","240","0","0"
"406_S9","143,780,279","142,907,733","142,822,624","0","872,546","81,091","43,514","645","0","0"
"NC_S10","29,197,304","15,329,080","14,359,308","0","13,868,224","958,426","755,692","7,877","0","0"
"PC_S11","73,724,093","63,603,118","2,029,912","0","10,120,975","61,273,759","61,213,371","4,208","0","0"
