name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	1438972	3903	1442875	0.96610
Cutibacterium acnes	1747	S	10225	402	10627	0.00712
Cutibacterium avidum	33010	S	86	5	91	0.00006
Cutibacterium granulosum	33011	S	52	2	54	0.00004
Propionibacterium sp. oral taxon 193	671223	S	208	18	226	0.00015
Propionibacterium freudenreichii	1744	S	5	1	6	0.00000
Propionibacterium acidifaciens	556499	S	3	0	3	0.00000
Propionibacterium australiense	119981	S	1	0	1	0.00000
Acidipropionibacterium jensenii	1749	S	4	0	4	0.00000
Acidipropionibacterium virtanenii	2057246	S	2	0	2	0.00000
Acidipropionibacterium acidipropionici	1748	S	1	0	1	0.00000
Tessaracoccus flavescens	399497	S	1	1	2	0.00000
Tessaracoccus defluvii	1285901	S	1	1	2	0.00000
Tessaracoccus aquimaris	1332264	S	1	0	1	0.00000
Microlunatus sagamiharensis	546874	S	3	0	3	0.00000
Microlunatus phosphovorus	29405	S	2	0	2	0.00000
Microlunatus sp. Gsoil 973	2672569	S	1	0	1	0.00000
Brevilactibacter sp. MC1595	2819349	S	5	0	5	0.00000
Raineyella sp. CBA3103	2662261	S	2	0	2	0.00000
Auraticoccus monumenti	675864	S	1	0	1	0.00000
Nocardioides sp. zg-1228	2763008	S	10	0	10	0.00001
Nocardioides sp. JQ2195	2592334	S	6	0	6	0.00000
Nocardioides sp. S5	2017486	S	6	0	6	0.00000
Nocardioides sp. zg-579	2663857	S	5	0	5	0.00000
Nocardioides sp. HY056	2500546	S	4	0	4	0.00000
Nocardioides sp. CF8	110319	S	4	0	4	0.00000
Nocardioides sp. dk884	2662361	S	4	2	6	0.00000
Nocardioides sp. S-1144	2582905	S	3	0	3	0.00000
Nocardioides sp. HDW12B	2714939	S	3	0	3	0.00000
Nocardioides sp. 603	2483798	S	2	0	2	0.00000
Nocardioides sp. dk3136	2575373	S	2	0	2	0.00000
Nocardioides sp. HDW12A	2714938	S	2	0	2	0.00000
Nocardioides sp. JS614	196162	S	2	0	2	0.00000
Nocardioides sp. WS12	2486272	S	1	0	1	0.00000
Nocardioides sp. MC1495	2736757	S	1	0	1	0.00000
Nocardioides sp. S-713	2760089	S	1	0	1	0.00000
Nocardioides anomalus	2712223	S	6	0	6	0.00000
Nocardioides aromaticivorans	200618	S	5	0	5	0.00000
Nocardioides humi	449461	S	4	0	4	0.00000
Nocardioides ungokensis	1643322	S	4	0	4	0.00000
Nocardioides seonyuensis	2518371	S	4	0	4	0.00000
Nocardioides cynanchi	2558918	S	4	0	4	0.00000
Nocardioides euryhalodurans	2518370	S	3	0	3	0.00000
Nocardioides sambongensis	2589074	S	3	0	3	0.00000
Nocardioides marinisabuli	419476	S	2	0	2	0.00000
Nocardioides dokdonensis	450734	S	2	0	2	0.00000
Nocardioides daphniae	402297	S	1	0	1	0.00000
Nocardioides baekrokdamisoli	1804624	S	1	0	1	0.00000
Nocardioides houyundeii	2045452	S	1	0	1	0.00000
Aeromicrobium sp. A1-2	2107713	S	2	0	2	0.00000
Aeromicrobium sp. zg-629	2663859	S	1	0	1	0.00000
Aeromicrobium yanjiei	2662028	S	3	1	4	0.00000
Aeromicrobium marinum	219314	S	2	0	2	0.00000
Aeromicrobium choanae	1736691	S	1	0	1	0.00000
Pimelobacter simplex	2045	S	8	1	9	0.00001
Marmoricola scoriae	642780	S	8	1	9	0.00001
Friedmanniella luteola	546871	S	3	0	3	0.00000
Micropruina glycogenica	75385	S	3	0	3	0.00000
Mumia sp. ZJ1417	2708082	S	2	0	2	0.00000
Kribbella qitaiheensis	1544730	S	2	0	2	0.00000
Kribbella flavida	182640	S	1	0	1	0.00000
Dermacoccus nishinomiyaensis	1274	S	1426	73	1499	0.00100
Dermacoccus sp. PAMC28757	2762331	S	21	0	21	0.00001
Kocuria rhizophila	72000	S	543	96	639	0.00043
Kocuria palustris	71999	S	39	1	40	0.00003
Kocuria varians	1272	S	29	2	31	0.00002
Kocuria sp. BT304	1702043	S	16	9	25	0.00002
Kocuria sp. KD4	2719588	S	4	0	4	0.00000
Kocuria sp. TGY1120_3	2711329	S	2	1	3	0.00000
Kocuria rosea	1275	S	5	0	5	0.00000
Kocuria indica	1049583	S	4	0	4	0.00000
Kocuria flava	446860	S	2	0	2	0.00000
Kocuria turfanensis	388357	S	1	0	1	0.00000
Paenarthrobacter sp. YJN-D	2735317	S	159	13	172	0.00012
Paenarthrobacter sp. YJN-5	2735316	S	2	2	4	0.00000
Paenarthrobacter ureafaciens	37931	S	2	4	6	0.00000
Paenarthrobacter aurescens	43663	S	1	1	2	0.00000
Micrococcus luteus	1270	S	84	49	133	0.00009
Micrococcus sp. KBS0714	1179670	S	4	21	25	0.00002
Micrococcus sp. V7	404582	S	2	0	2	0.00000
Micrococcus sp. A1	404583	S	1	3	4	0.00000
Arthrobacter sp. D5-1	1477518	S	12	2	14	0.00001
Arthrobacter sp. YC-RL1	1652545	S	7	0	7	0.00000
Arthrobacter sp. Rue61a	1118963	S	5	9	14	0.00001
Arthrobacter sp. YN	2020486	S	2	0	2	0.00000
Arthrobacter sp. U41	1849032	S	2	0	2	0.00000
Arthrobacter sp. UKPF54-2	2600159	S	2	0	2	0.00000
Arthrobacter sp. PAMC25564	2565366	S	1	0	1	0.00000
Arthrobacter sp. NEB 688	904039	S	1	0	1	0.00000
Arthrobacter sp. QXT-31	1357915	S	1	0	1	0.00000
Arthrobacter sp.	1667	S	1	0	1	0.00000
Arthrobacter sp. ERGS1:01	1704044	S	1	0	1	0.00000
Arthrobacter sp. ZXY-2	1806905	S	1	9	10	0.00001
Arthrobacter agilis	37921	S	4	0	4	0.00000
Arthrobacter crystallopoietes	37928	S	4	0	4	0.00000
Arthrobacter alpinus	656366	S	3	1	4	0.00000
Arthrobacter citreus	1670	S	2	0	2	0.00000
Arthrobacter dokdonellae	2211210	S	1	0	1	0.00000
Rothia mucilaginosa	43675	S	24	0	24	0.00002
Rothia dentocariosa	2047	S	13	1	14	0.00001
Rothia terrae	396015	S	6	0	6	0.00000
Rothia amarae	169480	S	3	0	3	0.00000
Rothia kristinae	37923	S	2	0	2	0.00000
Rothia aeria	172042	S	2	0	2	0.00000
Rothia nasimurium	85336	S	1	0	1	0.00000
Pseudarthrobacter sp. NIBRBAC000502771	2590774	S	3	4	7	0.00000
Pseudarthrobacter sp. YJ56	2697569	S	1	0	1	0.00000
Pseudarthrobacter sp. BIM B-2242	2772401	S	1	0	1	0.00000
Pseudarthrobacter chlorophenolicus	85085	S	2	0	2	0.00000
Pseudarthrobacter phenanthrenivorans	361575	S	2	0	2	0.00000
Pseudarthrobacter equi	728066	S	1	0	1	0.00000
Glutamicibacter protophormiae	37930	S	2	3	5	0.00000
Sinomonas sp. R1AF57	2020377	S	4	0	4	0.00000
Renibacterium salmoninarum	1646	S	3	0	3	0.00000
Psychromicrobium lacuslunae	1618207	S	2	0	2	0.00000
Citricoccus sp. SGAir0253	2567881	S	1	0	1	0.00000
Zhihengliuella sp. ISTPL4	2058657	S	1	0	1	0.00000
Microbacterium sp. PM5	2014534	S	41	3	44	0.00003
Microbacterium sp. Y-01	2048898	S	17	4	21	0.00001
Microbacterium sp. PAMC 28756	1795053	S	9	10	19	0.00001
Microbacterium sp. NY27	2782169	S	5	0	5	0.00000
Microbacterium sp. BH-3-3-3	1906742	S	5	0	5	0.00000
Microbacterium sp. CBA3102	2603598	S	4	0	4	0.00000
Microbacterium sp. RG1	2489212	S	4	0	4	0.00000
Microbacterium sp. WY121	2782168	S	3	0	3	0.00000
Microbacterium sp. A18JL241	2782166	S	3	0	3	0.00000
Microbacterium sp. JZ31	1906274	S	3	0	3	0.00000
Microbacterium sp. Se63.02b	2709304	S	3	0	3	0.00000
Microbacterium sp. TPU 3598	1938334	S	3	0	3	0.00000
Microbacterium sp. HY82	2708079	S	3	0	3	0.00000
Microbacterium sp. 4R-513	2567934	S	3	0	3	0.00000
Microbacterium sp. 10M-3C3	2483401	S	2	0	2	0.00000
Microbacterium sp. XT11	367477	S	2	0	2	0.00000
Microbacterium sp. ABRD_28	2268461	S	2	0	2	0.00000
Microbacterium sp. No. 7	1714373	S	2	0	2	0.00000
Microbacterium sp. YJN-G	2763257	S	1	0	1	0.00000
Microbacterium sp. Nx66	2766784	S	1	0	1	0.00000
Microbacterium sp. A18JL200	2782167	S	1	0	1	0.00000
Microbacterium hominis	162426	S	18	3	21	0.00001
Microbacterium aurum	36805	S	11	1	12	0.00001
Microbacterium oleivorans	273677	S	5	0	5	0.00000
Microbacterium esteraromaticum	57043	S	4	0	4	0.00000
Microbacterium testaceum	2033	S	4	0	4	0.00000
Microbacterium chocolatum	84292	S	4	0	4	0.00000
Microbacterium foliorum	104336	S	4	0	4	0.00000
Microbacterium lemovicicum	1072463	S	3	0	3	0.00000
Microbacterium caowuchunii	2614638	S	3	0	3	0.00000
Microbacterium oxydans	82380	S	3	0	3	0.00000
Microbacterium hydrocarbonoxydans	273678	S	2	0	2	0.00000
Microbacterium paraoxydans	199592	S	2	15	17	0.00001
Microbacterium wangchenii	2541726	S	2	0	2	0.00000
Microbacterium sediminis	904291	S	2	0	2	0.00000
Microbacterium protaetiae	2509458	S	2	0	2	0.00000
Microbacterium lushaniae	2614639	S	1	0	1	0.00000
Microbacterium endophyticum	1526412	S	1	0	1	0.00000
Microbacterium oryzae	743009	S	1	0	1	0.00000
Microbacterium pygmaeum	370764	S	1	0	1	0.00000
Microbacterium schleiferi	69362	S	1	0	1	0.00000
Curtobacterium flaccumfaciens	2035	S	55	4	59	0.00004
Curtobacterium sp. 24E2	2804758	S	3	0	3	0.00000
Curtobacterium sp. BH-2-1-1	1905847	S	2	0	2	0.00000
Curtobacterium sp. SGAir0471	2070337	S	2	0	2	0.00000
Curtobacterium sp. YC1	2795488	S	2	0	2	0.00000
Curtobacterium sp. Csp2	2495430	S	1	0	1	0.00000
Curtobacterium pusillum	69373	S	3	0	3	0.00000
Rathayibacter sp. VKM Ac-2804	2609257	S	6	4	10	0.00001
Rathayibacter sp. VKM Ac-2760	2609253	S	1	0	1	0.00000
Rathayibacter toxicus	145458	S	2	0	2	0.00000
Rathayibacter tanaceti	1671680	S	2	0	2	0.00000
Rathayibacter rathayi	33887	S	1	0	1	0.00000
Rathayibacter iranicus	59737	S	1	0	1	0.00000
Rathayibacter festucae	110937	S	1	0	1	0.00000
Agromyces sp. LHK192	2498704	S	3	0	3	0.00000
Agromyces sp. HY052	2585717	S	3	0	3	0.00000
Agromyces sp. KACC 19306	2592652	S	2	0	2	0.00000
Agromyces aureus	453304	S	3	0	3	0.00000
Agromyces protaetiae	2509455	S	2	0	2	0.00000
Agromyces flavus	589382	S	1	0	1	0.00000
Frondihabitans sp. 762G35	1446794	S	5	0	5	0.00000
Frondihabitans sp. PAMC 28766	1795630	S	3	0	3	0.00000
Leifsonia xyli	1575	S	5	0	5	0.00000
Leifsonia shinshuensis	150026	S	1	0	1	0.00000
Leifsonia sp. 21MFCrub1.1	1798223	S	1	0	1	0.00000
Candidatus Aquiluna sp. 15G-AUS-rot	2499157	S	4	0	4	0.00000
Candidatus Aquiluna sp. UB-MaderosW2red	1855377	S	1	0	1	0.00000
Rhodoluna limnophila	232537	S	1	1	2	0.00000
Frigoribacterium sp. NBH87	2596916	S	7	0	7	0.00000
Leucobacter sp. CX169	2813744	S	2	0	2	0.00000
Leucobacter insecticola	2714934	S	1	0	1	0.00000
Leucobacter viscericola	2714935	S	1	1	2	0.00000
Microterricola viridarii	412690	S	6	0	6	0.00000
Plantibacter sp. PA-3-X8	2480625	S	2	0	2	0.00000
Plantibacter sp. M259	2583822	S	1	0	1	0.00000
Plantibacter flavus	150123	S	2	0	2	0.00000
Herbiconiux sp. SALV-R1	2735133	S	5	0	5	0.00000
Cryobacterium soli	2220095	S	1	1	2	0.00000
Cryobacterium sp. LW097	1978566	S	1	0	1	0.00000
Agrococcus carbonis	684552	S	2	0	2	0.00000
Agrococcus jejuensis	399736	S	1	0	1	0.00000
Agrococcus sp. SGAir0287	2070347	S	1	0	1	0.00000
Mycetocola sp. JXN-3	2116510	S	3	0	3	0.00000
Clavibacter michiganensis	28447	S	3	0	3	0.00000
Salinibacterium sp. dk2585	2603292	S	1	0	1	0.00000
Salinibacterium sp. ZJ70	2708084	S	1	0	1	0.00000
Salinibacterium sp. ZJ450	2708338	S	1	0	1	0.00000
Protaetiibacter intestinalis	2419774	S	2	0	2	0.00000
Pontimonas salivibrio	1159327	S	2	0	2	0.00000
Lysinimonas sp. KACC 19322	2592654	S	2	0	2	0.00000
Agreia sp. COWG	2773266	S	2	0	2	0.00000
Gryllotalpicola protaetiae	2419771	S	1	0	1	0.00000
