name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Homo sapiens	9606	S	2317800	9365	2327165	0.72627
Variovorax sp. 38R	2774875	S	1747	1442	3189	0.00100
Variovorax sp. PAMC26660	2762322	S	1657	222	1879	0.00059
Variovorax sp. PAMC 28711	1795631	S	1025	74	1099	0.00034
Variovorax sp. HW608	1034889	S	916	69	985	0.00031
Variovorax sp. PAMC28562	2762323	S	688	24	712	0.00022
Variovorax sp. WDL1	207745	S	646	441	1087	0.00034
Variovorax sp. RKNM96	2681552	S	639	163	802	0.00025
Variovorax sp. PBL-H6	434009	S	539	529	1068	0.00033
Variovorax sp. RA8	662548	S	534	292	826	0.00026
Variovorax sp. PBS-H4	434008	S	513	182	695	0.00022
Variovorax sp. PBL-E5	434014	S	216	441	657	0.00021
Variovorax sp. SRS16	282217	S	205	340	545	0.00017
Variovorax sp. PDNC026	2811425	S	68	1851	1919	0.00060
Variovorax sp. PMC12	2126319	S	61	2234	2295	0.00072
Variovorax paradoxus	34073	S	5373	1489	6862	0.00214
Variovorax boronicumulans	436515	S	4736	2883	7619	0.00238
Acidovorax sp. KKS102	358220	S	5633	1685	7318	0.00228
Acidovorax sp. JMULE5	2518343	S	4615	759	5374	0.00168
Acidovorax sp. T1	1858609	S	2102	3160	5262	0.00164
Acidovorax sp. RAC01	1842533	S	1832	524	2356	0.00074
Acidovorax sp. 1608163	2478662	S	1757	212	1969	0.00061
Acidovorax sp. HDW3	2714923	S	967	172	1139	0.00036
Acidovorax sp. JS42	232721	S	372	5649	6021	0.00188
Acidovorax carolinensis	553814	S	2375	1393	3768	0.00118
Acidovorax avenae	80867	S	1204	578	1782	0.00056
Acidovorax monticola	1926868	S	862	165	1027	0.00032
Acidovorax antarcticus	2743470	S	690	166	856	0.00027
Acidovorax cattleyae	80868	S	376	208	584	0.00018
Acidovorax citrulli	80869	S	270	214	484	0.00015
Acidovorax ebreus	721785	S	145	1312	1457	0.00045
Diaphorobacter sp. HDW4A	2714924	S	7654	3345	10999	0.00343
Diaphorobacter sp. HDW4B	2714925	S	641	36	677	0.00021
Diaphorobacter sp. JS3051	2792224	S	134	2097	2231	0.00070
Diaphorobacter sp. JS3050	2735554	S	122	2003	2125	0.00066
Diaphorobacter aerolatus	1288495	S	1805	1172	2977	0.00093
Diaphorobacter ruginosibacter	1715720	S	476	42	518	0.00016
Diaphorobacter polyhydroxybutyrativorans	1546149	S	197	1223	1420	0.00044
Hydrogenophaga sp. BPS33	2651974	S	1111	453	1564	0.00049
Hydrogenophaga sp. RAC07	1842537	S	1084	341	1425	0.00044
Hydrogenophaga sp. PBL-H3	434010	S	908	574	1482	0.00046
Hydrogenophaga sp. PAMC20947	2565558	S	776	26	802	0.00025
Hydrogenophaga sp. YM1	2806262	S	765	251	1016	0.00032
Hydrogenophaga sp. BA0156	2716225	S	696	278	974	0.00030
Hydrogenophaga sp. PBC	795665	S	621	247	868	0.00027
Hydrogenophaga sp. NH-16	2184519	S	533	785	1318	0.00041
Hydrogenophaga crassostreae	1763535	S	744	20	764	0.00024
Hydrogenophaga pseudoflava	47421	S	573	595	1168	0.00036
Comamonas testosteroni	285	S	1956	1684	3640	0.00114
Comamonas aquatica	225991	S	1734	409	2143	0.00067
Comamonas kerstersii	225992	S	725	124	849	0.00026
Comamonas koreensis	160825	S	722	112	834	0.00026
Comamonas serinivorans	1082851	S	716	71	787	0.00025
Comamonas thiooxydans	363952	S	691	628	1319	0.00041
Comamonas sp. NLF-7-7	2597701	S	532	135	667	0.00021
Comamonas sp. 7D-2	1232667	S	5	75	80	0.00002
Comamonas piscis	1562974	S	435	45	480	0.00015
Rhodoferax sp. AJA081-3	2752316	S	1276	79	1355	0.00042
Rhodoferax sp. BAB1	2741720	S	1122	183	1305	0.00041
Rhodoferax sp. PAMC29310	2822760	S	632	74	706	0.00022
Rhodoferax koreense	1842727	S	1672	679	2351	0.00073
Rhodoferax sediminis	2509614	S	1308	105	1413	0.00044
Rhodoferax saidenbachensis	1484693	S	989	80	1069	0.00033
Rhodoferax antarcticus	81479	S	680	36	716	0.00022
Rhodoferax ferrireducens	192843	S	675	33	708	0.00022
Delftia acidovorans	80866	S	1641	2630	4271	0.00133
Delftia lacustris	558537	S	310	1475	1785	0.00056
Delftia sp. Cs1-4	742013	S	147	348	495	0.00015
Delftia sp. HK171	1920191	S	87	234	321	0.00010
Delftia sp. KV29	1170710	S	36	2385	2421	0.00076
Delftia tsuruhatensis	180282	S	222	743	965	0.00030
Ottowia oryzae	2109914	S	2085	198	2283	0.00071
Ottowia sp. 27C	2816950	S	985	75	1060	0.00033
Ottowia sp. oral taxon 894	1658672	S	426	19	445	0.00014
Polaromonas sp. JS666	296591	S	986	46	1032	0.00032
Polaromonas sp. W9N	1840323	S	34	0	34	0.00001
Polaromonas sp. H8N	1840297	S	25	2	27	0.00001
Polaromonas sp.	1869339	S	25	19	44	0.00001
Polaromonas sp. H6N	1840293	S	3	0	3	0.00000
Polaromonas sp. SP1	2268087	S	2	913	915	0.00029
Polaromonas sp. E3S	1840265	S	1	2	3	0.00000
Polaromonas sp. W10N	1840301	S	1	0	1	0.00000
Polaromonas sp. W11N	1840303	S	1	0	1	0.00000
Polaromonas naphthalenivorans	216465	S	1131	132	1263	0.00039
Polaromonas vacuolata	37448	S	232	44	276	0.00009
Kinneretia sp. DAIF2	2714952	S	2917	519	3436	0.00107
Alicycliphilus denitrificans	179636	S	2616	3807	6423	0.00200
Limnohabitans sp. 63ED37-2	1678128	S	1746	125	1871	0.00058
Limnohabitans sp. 103DPR2	1678129	S	361	18	379	0.00012
Schlegelella thermodepolymerans	215580	S	1757	375	2132	0.00067
Ramlibacter tataouinensis	94132	S	1460	168	1628	0.00051
Curvibacter sp. AEP1-3	1844971	S	1332	49	1381	0.00043
Pulveribacter suum	2116657	S	782	140	922	0.00029
Simplicispira suum	2109915	S	772	139	911	0.00028
Serpentinomonas mccroryi	1458426	S	354	71	425	0.00013
Serpentinomonas raichei	1458425	S	318	62	380	0.00012
Melaminivora sp. SC2-9	2109913	S	707	221	928	0.00029
Hylemonella gracilis	80880	S	691	44	735	0.00023
Verminephrobacter eiseniae	364317	S	666	25	691	0.00022
Candidatus Symbiobacter mobilis	1436290	S	218	2	220	0.00007
Aquabacterium olei	1296669	S	36137	7617	43754	0.01365
Rhizobacter sp. AJA081-3	2753607	S	2319	448	2767	0.00086
Rhizobacter gummiphilus	946333	S	1797	276	2073	0.00065
Methylibium petroleiphilum	105560	S	925	699	1624	0.00051
Methylibium sp. Pch-M	2082386	S	670	629	1299	0.00041
Methylibium sp. T29	1430884	S	41	120	161	0.00005
Paucibacter sp. KCTC 42545	1768242	S	2631	411	3042	0.00095
Sphaerotilus natans	34103	S	2431	623	3054	0.00095
Roseateles depolymerans	76731	S	1807	285	2092	0.00065
Leptothrix cholodnii	34029	S	1806	433	2239	0.00070
Rubrivivax gelatinosus	28068	S	1710	382	2092	0.00065
Mitsuaria sp. 7	1658665	S	1567	265	1832	0.00057
Inhella inkyongensis	392593	S	1410	171	1581	0.00049
Thiomonas sp. X19	1050370	S	400	13	413	0.00013
Thiomonas sp. OC7	2493107	S	2	420	422	0.00013
Thiomonas intermedia	926	S	331	58	389	0.00012
Thiomonas arsenitoxydans	426114	S	69	13	82	0.00003
Xylophilus rhododendri	2697032	S	524	117	641	0.00020
Cupriavidus taiwanensis	164546	S	959	515	1474	0.00046
Cupriavidus basilensis	68895	S	670	236	906	0.00028
Cupriavidus metallidurans	119219	S	452	250	702	0.00022
Cupriavidus necator	106590	S	443	102	545	0.00017
Cupriavidus pauculus	82633	S	380	90	470	0.00015
Cupriavidus oxalaticus	96344	S	332	108	440	0.00014
Cupriavidus campinensis	151783	S	287	103	390	0.00012
Cupriavidus pinatubonensis	248026	S	241	116	357	0.00011
Cupriavidus sp. USMAA2-4	876364	S	36	187	223	0.00007
Cupriavidus sp. ISTL7	2771360	S	26	153	179	0.00006
Cupriavidus sp. USMAHM13	1389192	S	24	132	156	0.00005
Cupriavidus gilardii	82541	S	47	150	197	0.00006
Cupriavidus neocaledonicus	1040979	S	47	44	91	0.00003
Cupriavidus nantongensis	1796606	S	32	41	73	0.00002
Cupriavidus malaysiensis	367825	S	31	185	216	0.00007
Burkholderia multivorans	87883	S	313	122	435	0.00014
Burkholderia cenocepacia	95486	S	211	351	562	0.00018
Burkholderia cepacia	292	S	107	101	208	0.00006
Burkholderia lata	482957	S	94	48	142	0.00004
Burkholderia contaminans	488447	S	92	56	148	0.00005
Burkholderia anthina	179879	S	91	58	149	0.00005
Burkholderia ubonensis	101571	S	85	188	273	0.00009
Burkholderia stabilis	95485	S	77	47	124	0.00004
Burkholderia stagnalis	1503054	S	66	32	98	0.00003
Burkholderia vietnamiensis	60552	S	63	138	201	0.00006
Burkholderia territorii	1503055	S	62	28	90	0.00003
Burkholderia metallica	488729	S	36	16	52	0.00002
Burkholderia seminalis	488731	S	34	15	49	0.00002
Burkholderia pseudomultivorans	1207504	S	32	37	69	0.00002
Burkholderia pyrrocinia	60550	S	30	15	45	0.00001
Burkholderia latens	488446	S	28	66	94	0.00003
Burkholderia ambifaria	152480	S	14	10	24	0.00001
Burkholderia diffusa	488732	S	10	4	14	0.00000
Burkholderia sp. DHOD12	2571746	S	115	10	125	0.00004
Burkholderia sp. THE68	758782	S	93	11	104	0.00003
Burkholderia sp. PAMC 26561	1795043	S	71	55	126	0.00004
Burkholderia sp. CCGE1003	640512	S	65	17	82	0.00003
Burkholderia sp. Bp7605	1740163	S	50	4	54	0.00002
Burkholderia sp. KK1	1855726	S	33	44	77	0.00002
Burkholderia sp. YI23	1097668	S	31	49	80	0.00002
Burkholderia sp. MSMB0856	1637869	S	27	14	41	0.00001
Burkholderia sp. JP2-270	2217913	S	26	14	40	0.00001
Burkholderia sp. PAMC 28687	1795874	S	26	36	62	0.00002
Burkholderia sp. LA-2-3-30-S1-D2	1637862	S	19	9	28	0.00001
Burkholderia sp. RPE67	758796	S	17	27	44	0.00001
Burkholderia sp. NRF60-BP8	1637853	S	16	7	23	0.00001
Burkholderia sp. KBS0801	1179675	S	11	16	27	0.00001
Burkholderia sp. IDO3	1705310	S	11	13	24	0.00001
Burkholderia sp. MS389	2811789	S	10	4	14	0.00000
Burkholderia sp. MBR-1	2732364	S	8	25	33	0.00001
Burkholderia sp. MS455	2811788	S	4	2	6	0.00000
Burkholderia sp. 2002721687	1468409	S	2	591	593	0.00019
Burkholderia pseudomallei	28450	S	276	529	805	0.00025
Burkholderia thailandensis	57975	S	72	118	190	0.00006
Burkholderia sp. BDU8	1385592	S	38	7	45	0.00001
Burkholderia oklahomensis	342113	S	29	6	35	0.00001
Burkholderia sp. MSMB0852	1637841	S	24	31	55	0.00002
Burkholderia sp. BDU6	1385591	S	11	2	13	0.00000
Burkholderia sp. MSMB617WGS	1637831	S	9	15	24	0.00001
Burkholderia sp. MSMB0266	1637837	S	9	8	17	0.00001
Burkholderia mallei	13373	S	2	13	15	0.00000
Burkholderia sp. MSMB1588	1636423	S	1	1	2	0.00000
Burkholderia gladioli	28095	S	279	39	318	0.00010
Burkholderia glumae	337	S	150	28	178	0.00006
Burkholderia plantarii	41899	S	144	21	165	0.00005
Ralstonia solanacearum	305	S	856	464	1320	0.00041
Ralstonia pickettii	329	S	757	335	1092	0.00034
Ralstonia insidiosa	190721	S	459	93	552	0.00017
Ralstonia mannitolilytica	105219	S	336	197	533	0.00017
blood disease bacterium A2-HR MARDI	1944648	S	18	680	698	0.00022
Ralstonia pseudosolanacearum	1310165	S	16	40	56	0.00002
Ralstonia syzygii	28097	S	7	100	107	0.00003
Paraburkholderia sp. 7MH5	2547399	S	170	21	191	0.00006
Paraburkholderia sp. SOS3	1926494	S	98	7	105	0.00003
Paraburkholderia sp. Msb3	2604047	S	87	52	139	0.00004
Paraburkholderia sp. PGU19	2735434	S	42	22	64	0.00002
Paraburkholderia sp. PGU16	2735433	S	39	13	52	0.00002
Paraburkholderia acidisoli	2571748	S	176	23	199	0.00006
Paraburkholderia aromaticivorans	2026199	S	161	58	219	0.00007
Paraburkholderia terricola	169427	S	145	32	177	0.00006
Paraburkholderia phytofirmans	261302	S	144	68	212	0.00007
Paraburkholderia tropica	92647	S	135	25	160	0.00005
Paraburkholderia caribensis	75105	S	121	51	172	0.00005
Paraburkholderia hospita	169430	S	109	92	201	0.00006
Paraburkholderia acidiphila	2571747	S	102	14	116	0.00004
Paraburkholderia caledonica	134536	S	95	15	110	0.00003
Paraburkholderia atlantica	2654982	S	89	16	105	0.00003
Paraburkholderia dokdonella	2211211	S	84	17	101	0.00003
Paraburkholderia xenovorans	36873	S	80	53	133	0.00004
Paraburkholderia megapolitana	420953	S	77	5	82	0.00003
Paraburkholderia phymatum	148447	S	64	16	80	0.00002
Paraburkholderia caffeinilytica	1761016	S	59	12	71	0.00002
Paraburkholderia fungorum	134537	S	58	11	69	0.00002
Paraburkholderia graminis	60548	S	53	12	65	0.00002
Paraburkholderia ginsengisoli	311231	S	51	12	63	0.00002
Paraburkholderia sprentiae	948107	S	47	6	53	0.00002
Paraburkholderia phenoliruptrix	252970	S	44	17	61	0.00002
Paraburkholderia acidophila	265293	S	15	41	56	0.00002
Paraburkholderia terrae	311230	S	8	8	16	0.00000
Polynucleobacter difficilis	556054	S	1312	52	1364	0.00043
Polynucleobacter necessarius	576610	S	419	20	439	0.00014
Polynucleobacter duraquae	1835254	S	285	26	311	0.00010
Polynucleobacter asymbioticus	576611	S	98	11	109	0.00003
Polynucleobacter sp. MWH-UH21B	1743174	S	32	2	34	0.00001
Polynucleobacter sp. LimPoW16	1743162	S	23	1	24	0.00001
Polynucleobacter acidiphobus	556053	S	45	0	45	0.00001
Polynucleobacter wuianus	1743168	S	30	5	35	0.00001
Polynucleobacter paneuropaeus	2527775	S	30	1	31	0.00001
Pandoraea pnomenusa	93220	S	284	118	402	0.00013
Pandoraea apista	93218	S	154	51	205	0.00006
Pandoraea vervacti	656178	S	139	47	186	0.00006
Pandoraea thiooxydans	445709	S	120	5	125	0.00004
Pandoraea sp. XY-2	2518599	S	94	20	114	0.00004
Pandoraea norimbergensis	93219	S	91	11	102	0.00003
Pandoraea fibrosis	1891094	S	85	31	116	0.00004
Pandoraea pulmonicola	93221	S	82	15	97	0.00003
Pandoraea faecigallinarum	656179	S	81	24	105	0.00003
Pandoraea sputorum	93222	S	70	34	104	0.00003
