name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacillus subtilis	1423	S	53448	1509558	1563006	0.02201
Bacillus vallismortis	72361	S	21821	45074	66895	0.00094
Bacillus tequilensis	227866	S	12557	4805	17362	0.00024
Bacillus mojavensis	72360	S	6082	7402	13484	0.00019
Bacillus halotolerans	260554	S	2505	14435	16940	0.00024
Bacillus spizizenii	96241	S	7161	823377	830538	0.01170
Bacillus velezensis	492670	S	2627	106448	109075	0.00154
Bacillus amyloliquefaciens	1390	S	671	28011	28682	0.00040
Bacillus siamensis	659243	S	312	2440	2752	0.00004
Bacillus inaquosorum	483913	S	3997	28418	32415	0.00046
Bacillus atrophaeus	1452	S	2167	17732	19899	0.00028
Bacillus sonorensis	119858	S	374	97	471	0.00001
Bacillus paralicheniformis	1648923	S	259	297	556	0.00001
Bacillus licheniformis	1402	S	39	1542	1581	0.00002
Bacillus sp. MBGLi79	2070759	S	1437	11546	12983	0.00018
Bacillus sp. MD-5	2009331	S	721	7812	8533	0.00012
Bacillus sp. JS	1127744	S	611	7075	7686	0.00011
Bacillus sp. NSP9.1	1071078	S	604	43	647	0.00001
Bacillus sp. PAMC26543	2762329	S	588	8703	9291	0.00013
Bacillus sp. WR11	2448811	S	265	52999	53264	0.00075
Bacillus sp. LJBS06	2809036	S	261	3174	3435	0.00005
Bacillus sp. OxB-1	98228	S	168	30	198	0.00000
Bacillus sp. DSL-17	2567941	S	121	16	137	0.00000
Bacillus sp. CS13	2728853	S	108	12	120	0.00000
Bacillus sp. FJAT-18017	1705566	S	104	12	116	0.00000
Bacillus sp. 1NLA3E	666686	S	102	13	115	0.00000
Bacillus sp. HNA3	2585772	S	94	128476	128570	0.00181
Bacillus sp. THAF10	2587848	S	91	11	102	0.00000
Bacillus sp. FJAT-42376	2014076	S	73	11	84	0.00000
Bacillus sp. N3536	2666127	S	57	35	92	0.00000
Bacillus sp. BH072	1570330	S	37	107231	107268	0.00151
Bacillus sp. Y1	352858	S	37	5	42	0.00000
Bacillus sp. PAMC26568	2760090	S	37	2	39	0.00000
Bacillus sp. HD4P25	2779776	S	30	4	34	0.00000
Bacillus sp. S3	486398	S	27	3	30	0.00000
Bacillus sp. FJAT-45348	2011012	S	24	1	25	0.00000
Bacillus sp. FJAT-22090	1581038	S	23	3	26	0.00000
Bacillus sp. KH172YL63	2709784	S	22	3	25	0.00000
Bacillus sp. M4U3P1	2592382	S	21	3	24	0.00000
Bacillus sp. SB49	1071080	S	21	1	22	0.00000
Bacillus sp. X1(2014)	1565991	S	17	3	20	0.00000
Bacillus sp. V3	2795526	S	15	1	16	0.00000
Bacillus sp. Cs-700	2589818	S	11	1	12	0.00000
Bacillus sp. N1-1	2682541	S	10	1	11	0.00000
Bacillus sp. FJAT-14266	1837130	S	10	4617	4627	0.00007
Bacillus sp. DM2	2267265	S	10	2221	2231	0.00003
Bacillus sp. ZY-1-1	2093834	S	9	1326	1335	0.00002
Bacillus sp. YP1	1574141	S	7	1870	1877	0.00003
Bacillus sp. PDNC022	2812759	S	5	38	43	0.00000
Bacillus sp. ms-22	2683680	S	5	58	63	0.00000
Bacillus sp. Lzh-5	2049935	S	5	15328	15333	0.00022
Bacillus sp. LM 4-2	1628753	S	5	12026	12031	0.00017
Bacillus sp. BS98	2608254	S	4	111	115	0.00000
Bacillus sp. KBS0812	2582827	S	4	174063	174067	0.00245
Bacillus sp. SYJ	2529386	S	4	25	29	0.00000
Bacillus sp. Y-01	2052936	S	3	47	50	0.00000
Bacillus sp. LJBV19	2821409	S	3	98	101	0.00000
Bacillus sp. WP8	756828	S	3	7	10	0.00000
Bacillus sp. AM1(2019)	2665175	S	3	144	147	0.00000
Bacillus sp. BS-02	887059	S	2	32	34	0.00000
Bacillus sp. Pc3	1446792	S	2	350	352	0.00000
Bacillus sp. 3a	580459	S	2	30	32	0.00000
Bacillus sp. BD59S	2499213	S	1	4	5	0.00000
Bacillus sp. TK-2	2801342	S	1	30	31	0.00000
Bacillus sp. RZ2MS9	1806216	S	1	53	54	0.00000
Bacillus sp. SDLI1	1774743	S	1	109	110	0.00000
Bacillus cereus	1396	S	5515	195513	201028	0.00283
