name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Cutibacterium acnes	1747	S	3921	386	4307	0.0899672049
Dermacoccus nishinomiyaensis	1274	S	1203	125	1328	0.0277400622
Klebsiella pneumoniae	573	S	174	905	1079	0.0225388006
Stenotrophomonas maltophilia	40324	S	760	251	1011	0.0211183757
Xanthomonas euvesicatoria	456327	S	9	551	560	0.0116976166
Pseudomonas oryzihabitans	47885	S	446	61	507	0.0105905208
Lactococcus lactis	1358	S	51	439	490	0.0102354145
Aliarcobacter cryaerophilus	28198	S	411	57	468	0.0097758653
Phocaeicola vulgatus	821	S	327	122	449	0.0093789819
Kocuria rhizophila	72000	S	300	64	364	0.0076034508
Pseudomonas veronii	76761	S	87	232	319	0.0066634637
Pseudomonas fluorescens	294	S	204	107	311	0.0064963549
Candidatus Planktophila sulfonica	1884904	S	278	27	305	0.0063710233
Neisseria meningitidis	487	S	3	262	265	0.0055354793
Acinetobacter baumannii	470	S	53	201	254	0.0053057047
Acinetobacter johnsonii	40214	S	120	96	216	0.0045119378
Blautia sp. SC05B48	2479767	S	139	69	208	0.0043448290
Acidovorax sp. T1	1858609	S	58	141	199	0.0041568316
Moraxella osloensis	34062	S	177	10	187	0.0039061684
Polynucleobacter necessarius	576610	S	158	12	170	0.0035510622
Variovorax paradoxus	34073	S	127	42	169	0.0035301736
Acidovorax sp. JS42	232721	S	8	158	166	0.0034675078
Pseudomonas aeruginosa	287	S	33	132	165	0.0034466192
Sphingomonas sp. PAMC26645	2565555	S	143	21	164	0.0034257306
Acidovorax sp. KKS102	358220	S	104	51	155	0.0032377332
Salmonella enterica	28901	S	7	147	154	0.0032168446
Curvibacter sp. AEP1-3	1844971	S	147	6	153	0.0031959560
Bacteroides uniformis	820	S	87	64	151	0.0031541788
Duganella sp. AF9R3	2728021	S	119	25	144	0.0030079586
Acinetobacter junii	40215	S	117	22	139	0.0029035156
Limnohabitans sp. 103DPR2	1678129	S	130	8	138	0.0028826270
Limnohabitans sp. 63ED37-2	1678128	S	125	11	136	0.0028408497
Anabaena sp. YBS01	2490939	S	6	128	134	0.0027990725
Aquaspirillum sp. LM1	1938604	S	120	9	129	0.0026946295
Acinetobacter lwoffii	28090	S	56	68	124	0.0025901865
Escherichia coli	562	S	24	98	122	0.0025484093
Phocaeicola dorei	357276	S	85	36	121	0.0025275207
Pseudomonas sp. CMR12a	658629	S	61	57	118	0.0024648549
Polaromonas naphthalenivorans	216465	S	103	12	115	0.0024021891
Erwinia gerundensis	1619313	S	108	5	113	0.0023604119
Aeromonas media	651	S	75	36	111	0.0023186347
Anaerostipes hadrus	649756	S	85	25	110	0.0022977461
Faecalibacterium prausnitzii	853	S	81	29	110	0.0022977461
Comamonas testosteroni	285	S	55	54	109	0.0022768575
Acidovorax carolinensis	553814	S	63	44	107	0.0022350803
Polynucleobacter duraquae	1835254	S	94	13	107	0.0022350803
Streptomyces lividans	1916	S	5	97	102	0.0021306373
Bifidobacterium longum	216816	S	76	25	101	0.0021097487
Alicycliphilus denitrificans	179636	S	38	62	100	0.0020888601
Leptothrix cholodnii	34029	S	76	24	100	0.0020888601
Sphingorhabdus lacus	392610	S	93	1	94	0.0019635285
Prevotella copri	165179	S	80	13	93	0.0019426399
Sphaerotilus natans	34103	S	68	23	91	0.0019008627
Halomonas sp. JS92-SW72	2306583	S	81	9	90	0.0018799741
Rhodoferax koreense	1842727	S	53	36	89	0.0018590855
Staphylococcus aureus	1280	S	23	66	89	0.0018590855
Rhizobacter sp. AJA081-3	2753607	S	72	16	88	0.0018381969
Propionibacterium sp. oral taxon 193	671223	S	82	6	88	0.0018381969
Pseudomonas putida	303	S	45	42	87	0.0018173083
Delftia acidovorans	80866	S	35	52	87	0.0018173083
Pseudomonas sp. S150	2559074	S	37	49	86	0.0017964197
Gordonia bronchialis	2054	S	75	9	84	0.0017546425
Rhodoferax sp. AJA081-3	2752316	S	76	7	83	0.0017337539
Rhodoferax saidenbachensis	1484693	S	72	11	83	0.0017337539
Methylobacterium sp. C1	1479019	S	18	64	82	0.0017128653
Bifidobacterium adolescentis	1680	S	78	3	81	0.0016919767
Flavobacterium johnsoniae	986	S	56	24	80	0.0016710881
Flavobacterium sangjuense	2518177	S	75	4	79	0.0016501995
Flavobacterium nackdongense	2547394	S	74	5	79	0.0016501995
Burkholderia pseudomallei	28450	S	15	63	78	0.0016293109
Delftia lacustris	558537	S	14	63	77	0.0016084223
Coprococcus comes	410072	S	55	22	77	0.0016084223
Oscillatoria nigro-viridis	482564	S	67	10	77	0.0016084223
Methylobacterium sp. XJLW	739141	S	7	69	76	0.0015875337
Acidovorax sp. 1608163	2478662	S	64	11	75	0.0015666451
Bacteroides thetaiotaomicron	818	S	67	8	75	0.0015666451
[Ruminococcus] torques	33039	S	49	25	74	0.0015457565
Acidovorax ebreus	721785	S	6	67	73	0.0015248679
Bacteroides ovatus	28116	S	42	31	73	0.0015248679
Bacteroides fragilis	817	S	40	33	73	0.0015248679
Paracoccus yeei	147645	S	37	34	71	0.0014830907
Collinsella aerofaciens	74426	S	66	5	71	0.0014830907
Methylobacterium radiotolerans	31998	S	21	49	70	0.0014622021
Flavobacterium sp. M31R6	2739062	S	60	9	69	0.0014413135
Flavobacterium sp. KBS0721	1179672	S	48	21	69	0.0014413135
Pseudomonas koreensis	198620	S	52	16	68	0.0014204249
Rhodococcus erythropolis	1833	S	15	53	68	0.0014204249
Pseudomonas syringae	317	S	20	47	67	0.0013995363
Vibrio anguillarum	55601	S	60	7	67	0.0013995363
Fluviibacter phosphoraccumulans	1751046	S	56	11	67	0.0013995363
Acidovorax sp. JMULE5	2518343	S	53	13	66	0.0013786477
Janthinobacterium agaricidamnosum	55508	S	42	24	66	0.0013786477
Micrococcus luteus	1270	S	34	32	66	0.0013786477
Roseburia intestinalis	166486	S	46	20	66	0.0013786477
Flavobacterium sp. Sr18	935222	S	59	7	66	0.0013786477
Frigoriglobus tundricola	2774151	S	61	5	66	0.0013786477
Hydrogenophaga sp. PBL-H3	434010	S	34	31	65	0.0013577591
Diaphorobacter sp. JS3050	2735554	S	3	62	65	0.0013577591
Sphingomonas sp. HMP9	1517554	S	53	11	64	0.0013368705
Archangium violaceum	83451	S	43	21	64	0.0013368705
Megamonas funiformis	437897	S	64	0	64	0.0013368705
Rhodoferax sediminis	2509614	S	56	7	63	0.0013159819
Hydrogenophaga sp. RAC07	1842537	S	45	18	63	0.0013159819
Rhizobacter gummiphilus	946333	S	53	10	63	0.0013159819
Corynebacterium kefirresidentii	1979527	S	46	17	63	0.0013159819
[Ruminococcus] gnavus	33038	S	41	22	63	0.0013159819
Candidatus Planktophila dulcis	1884914	S	56	6	62	0.0012950933
Streptococcus thermophilus	1308	S	50	11	61	0.0012742047
Kinneretia sp. DAIF2	2714952	S	49	11	60	0.0012533161
Methylobacterium aquaticum	270351	S	48	12	60	0.0012533161
Sphingobium yanoikuyae	13690	S	24	36	60	0.0012533161
Actinoplanes derwentensis	113562	S	57	3	60	0.0012533161
Coprococcus catus	116085	S	47	12	59	0.0012324275
Acidovorax sp. RAC01	1842533	S	39	19	58	0.0012115389
