name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Klebsiella pneumoniae	573	S	27457	22371	49828	0.0569959862
Aquabacterium olei	1296669	S	36137	7617	43754	0.0500482135
Xanthomonas euvesicatoria	456327	S	1683	31860	33543	0.0383683143
Oscillatoria nigro-viridis	482564	S	26574	823	27397	0.0313381840
Pseudomonas tolaasii	29442	S	17076	1672	18748	0.0214449857
Cutibacterium acnes	1747	S	16628	1924	18552	0.0212207902
Abyssicoccus albus	1817405	S	12968	965	13933	0.0159373259
Acinetobacter junii	40215	S	11250	1629	12879	0.0147317032
Diaphorobacter sp. HDW4A	2714924	S	7654	3345	10999	0.0125812566
Staphylococcus cohnii	29382	S	6828	2034	8862	0.0101368393
Staphylococcus haemolyticus	1283	S	6250	1528	7778	0.0088969010
Variovorax boronicumulans	436515	S	4736	2883	7619	0.0087150281
Acidovorax sp. KKS102	358220	S	5633	1685	7318	0.0083707278
Variovorax paradoxus	34073	S	5373	1489	6862	0.0078491302
Rhodococcus qingshengii	334542	S	1078	5454	6532	0.0074716581
Alicycliphilus denitrificans	179636	S	2616	3807	6423	0.0073469780
Acidovorax sp. JS42	232721	S	372	5649	6021	0.0068871485
Pseudomonas sp. CMR12a	658629	S	4764	654	5418	0.0061974041
Acidovorax sp. JMULE5	2518343	S	4615	759	5374	0.0061470745
Acidovorax sp. T1	1858609	S	2102	3160	5262	0.0060189628
Rhodococcus erythropolis	1833	S	1145	3992	5137	0.0058759810
Delftia acidovorans	80866	S	1641	2630	4271	0.0048854029
Aulosira laxa	1541975	S	5	4123	4128	0.0047218317
Acidovorax carolinensis	553814	S	2375	1393	3768	0.0043100441
Pseudomonas aeruginosa	287	S	1048	2667	3715	0.0042494198
Comamonas testosteroni	285	S	1956	1684	3640	0.0041636307
Staphylococcus hominis	1290	S	3117	501	3618	0.0041384659
Kinneretia sp. DAIF2	2714952	S	2917	519	3436	0.0039302844
Variovorax sp. 38R	2774875	S	1747	1442	3189	0.0036477523
Planktothrix agardhii	1160	S	1752	1434	3186	0.0036443207
Sphaerotilus natans	34103	S	2431	623	3054	0.0034933319
Paucibacter sp. KCTC 42545	1768242	S	2631	411	3042	0.0034796056
Kytococcus sedentarius	1276	S	2538	484	3022	0.0034567286
Diaphorobacter aerolatus	1288495	S	1805	1172	2977	0.0034052551
Priestia megaterium	1404	S	2190	742	2932	0.0033537816
Pseudomonas sp. THAF187a	2587863	S	1	2879	2880	0.0032943012
Rhizobacter sp. AJA081-3	2753607	S	2319	448	2767	0.0031650456
Delftia sp. KV29	1170710	S	36	2385	2421	0.0027692719
Halomonas sp. JS92-SW72	2306583	S	2173	186	2359	0.0026983530
Acidovorax sp. RAC01	1842533	S	1832	524	2356	0.0026949214
Rhodoferax koreense	1842727	S	1672	679	2351	0.0026892021
Anabaena sp. YBS01	2490939	S	297	2031	2328	0.0026628935
Micrococcus luteus	1270	S	1049	1270	2319	0.0026525988
Variovorax sp. PMC12	2126319	S	61	2234	2295	0.0026251463
Ottowia oryzae	2109914	S	2085	198	2283	0.0026114200
Janthinobacterium sp. HH102	1537274	S	830	1445	2275	0.0026022692
Leptothrix cholodnii	34029	S	1806	433	2239	0.0025610904
Diaphorobacter sp. JS3051	2792224	S	134	2097	2231	0.0025519396
Streptomyces lividans	1916	S	243	1944	2187	0.0025016100
Comamonas aquatica	225991	S	1734	409	2143	0.0024512804
Schlegelella thermodepolymerans	215580	S	1757	375	2132	0.0024386980
Diaphorobacter sp. JS3050	2735554	S	122	2003	2125	0.0024306910
Moraxella osloensis	34062	S	2040	75	2115	0.0024192524
Roseateles depolymerans	76731	S	1807	285	2092	0.0023929438
Rubrivivax gelatinosus	28068	S	1710	382	2092	0.0023929438
Rhodococcus sp. YL-1	1045808	S	406	1680	2086	0.0023860807
Cloacibacterium normanense	237258	S	1817	259	2076	0.0023746421
Rhizobacter gummiphilus	946333	S	1797	276	2073	0.0023712106
Spirosoma sp. KUDC1026	2745947	S	1953	96	2049	0.0023437580
Acidovorax sp. 1608163	2478662	S	1757	212	1969	0.0022522497
Variovorax sp. PDNC026	2811425	S	68	1851	1919	0.0021950569
Variovorax sp. PAMC26660	2762322	S	1657	222	1879	0.0021493028
Janthinobacterium agaricidamnosum	55508	S	776	1096	1872	0.0021412958
Limnohabitans sp. 63ED37-2	1678128	S	1746	125	1871	0.0021401519
Acinetobacter baumannii	470	S	373	1469	1842	0.0021069801
Flavobacterium phage vB_FspS_filifjonk9-1	2686245	S	712	1124	1836	0.0021001170
Mitsuaria sp. 7	1658665	S	1567	265	1832	0.0020955416
Staphylococcus aureus	1280	S	596	1210	1806	0.0020658014
Delftia lacustris	558537	S	310	1475	1785	0.0020417804
Acidovorax avenae	80867	S	1204	578	1782	0.0020383489
Corynebacterium tuberculostearicum	38304	S	1416	361	1777	0.0020326296
Lysobacter enzymogenes	69	S	1600	143	1743	0.0019937385
Flavobacterium phage Fpv3	1814284	S	3	1635	1638	0.0018736338
Ramlibacter tataouinensis	94132	S	1460	168	1628	0.0018621953
Methylibium petroleiphilum	105560	S	925	699	1624	0.0018576198
Inhella inkyongensis	392593	S	1410	171	1581	0.0018084341
Hydrogenophaga sp. BPS33	2651974	S	1111	453	1564	0.0017889886
Sphingomonas melonis	152682	S	500	1045	1545	0.0017672553
Staphylococcus sp. T93	2799681	S	8	1523	1531	0.0017512414
Paenarthrobacter sp. YJN-D	2735317	S	1114	382	1496	0.0017112065
Pedobacter sp. SW-16	2766984	S	1206	286	1492	0.0017066310
Sphingobium yanoikuyae	13690	S	668	820	1488	0.0017020556
Hydrogenophaga sp. PBL-H3	434010	S	908	574	1482	0.0016951925
Cupriavidus taiwanensis	164546	S	959	515	1474	0.0016860417
Stenotrophomonas maltophilia	40324	S	970	499	1469	0.0016803224
Acidovorax ebreus	721785	S	145	1312	1457	0.0016665961
Hydrogenophaga sp. RAC07	1842537	S	1084	341	1425	0.0016299928
Diaphorobacter polyhydroxybutyrativorans	1546149	S	197	1223	1420	0.0016242735
Rhodoferax sediminis	2509614	S	1308	105	1413	0.0016162665
Curvibacter sp. AEP1-3	1844971	S	1332	49	1381	0.0015796632
Polynucleobacter difficilis	556054	S	1312	52	1364	0.0015602177
Rhodoferax sp. AJA081-3	2752316	S	1276	79	1355	0.0015499230
Ralstonia solanacearum	305	S	856	464	1320	0.0015098881
Comamonas thiooxydans	363952	S	691	628	1319	0.0015087442
Hydrogenophaga sp. NH-16	2184519	S	533	785	1318	0.0015076003
Rhodoferax sp. BAB1	2741720	S	1122	183	1305	0.0014927302
Methylibium sp. Pch-M	2082386	S	670	629	1299	0.0014858671
Achromobacter xylosoxidans	85698	S	685	611	1296	0.0014824355
Pseudomonas fluorescens	294	S	1014	279	1293	0.0014790040
Polaromonas naphthalenivorans	216465	S	1131	132	1263	0.0014446883
Rhodococcus sp. NJ-530	2490853	S	215	1028	1243	0.0014218112
Hydrogenophaga pseudoflava	47421	S	573	595	1168	0.0013360222
Clostridium botulinum	1491	S	946	218	1164	0.0013314467
Escherichia coli	562	S	242	903	1145	0.0013097135
Acidovorax sp. HDW3	2714923	S	967	172	1139	0.0013028504
Pseudomonas putida	303	S	729	387	1116	0.0012765417
Microbacterium sp. PM5	2014534	S	980	135	1115	0.0012753979
Variovorax sp. PAMC 28711	1795631	S	1025	74	1099	0.0012570962
Ralstonia pickettii	329	S	757	335	1092	0.0012490892
Variovorax sp. WDL1	207745	S	646	441	1087	0.0012433699
Urbifossiella limnaea	2528023	S	984	102	1086	0.0012422261
Dermacoccus nishinomiyaensis	1274	S	880	201	1081	0.0012365068
Janthinobacterium sp. LM6	1938606	S	736	337	1073	0.0012273560
Kocuria palustris	71999	S	884	189	1073	0.0012273560
[Micrococcus] candicans	946432	S	1010	62	1072	0.0012262121
Rhodoferax saidenbachensis	1484693	S	989	80	1069	0.0012227806
Variovorax sp. PBL-H6	434009	S	539	529	1068	0.0012216367
Ottowia sp. 27C	2816950	S	985	75	1060	0.0012124859
Pseudomonas alcaligenes	43263	S	965	87	1052	0.0012033350
Polaromonas sp. JS666	296591	S	986	46	1032	0.0011804579
Acidovorax monticola	1926868	S	862	165	1027	0.0011747387
Hydrogenophaga sp. YM1	2806262	S	765	251	1016	0.0011621563
Staphylococcus epidermidis	1282	S	809	205	1014	0.0011598685
Rhodopseudomonas palustris	1076	S	795	200	995	0.0011381353
Brevibacterium luteolum	199591	S	776	214	990	0.0011324160
Variovorax sp. HW608	1034889	S	916	69	985	0.0011266968
Hydrogenophaga sp. BA0156	2716225	S	696	278	974	0.0011141144
Tsukamurella paurometabola	2061	S	823	151	974	0.0011141144
Delftia tsuruhatensis	180282	S	222	743	965	0.0011038197
Bacillus cereus	1396	S	396	540	936	0.0010706479
Pseudomonas stutzeri	316	S	817	118	935	0.0010695040
Rhodococcus sp. 008	1723645	S	152	778	930	0.0010637848
Melaminivora sp. SC2-9	2109913	S	707	221	928	0.0010614971
Pulveribacter suum	2116657	S	782	140	922	0.0010546339
Janthinobacterium lividum	29581	S	416	503	919	0.0010512024
Polaromonas sp. SP1	2268087	S	2	913	915	0.0010466269
Propionibacterium sp. oral taxon 193	671223	S	753	160	913	0.0010443392
Simplicispira suum	2109915	S	772	139	911	0.0010420515
Cupriavidus basilensis	68895	S	670	236	906	0.0010363323
Vitreoscilla filiformis	63	S	818	85	903	0.0010329007
Myroides odoratimimus	76832	S	394	503	897	0.0010260376
Azospira sp. I09	1765049	S	453	417	870	0.0009951535
Hydrogenophaga sp. PBC	795665	S	621	247	868	0.0009928658
Pedobacter sp. G11	2482728	S	745	115	860	0.0009837149
Flavobacterium psychrophilum	96345	S	683	175	858	0.0009814272
Acidovorax antarcticus	2743470	S	690	166	856	0.0009791395
Pedobacter sp. HDW13	2714940	S	743	109	852	0.0009745641
Comamonas kerstersii	225992	S	725	124	849	0.0009711325
Paenibacillus larvae	1464	S	16	832	848	0.0009699887
Comamonas koreensis	160825	S	722	112	834	0.0009539747
Variovorax sp. RA8	662548	S	534	292	826	0.0009448239
Burkholderia pseudomallei	28450	S	276	529	805	0.0009208029
Variovorax sp. RKNM96	2681552	S	639	163	802	0.0009173714
Hydrogenophaga sp. PAMC20947	2565558	S	776	26	802	0.0009173714
Comamonas serinivorans	1082851	S	716	71	787	0.0009002136
Acinetobacter johnsonii	40214	S	388	379	767	0.0008773365
Janthinobacterium sp. 1_2014MBL_MicDiv	1644131	S	610	155	765	0.0008750488
Hydrogenophaga crassostreae	1763535	S	744	20	764	0.0008739049
Tsukamurella tyrosinosolvens	57704	S	561	203	764	0.0008739049
Bradyrhizobium diazoefficiens	1355477	S	307	453	760	0.0008693295
Pedobacter roseus	336820	S	547	209	756	0.0008647541
Sphingomonas koreensis	93064	S	483	271	754	0.0008624664
Kaistella jeonii	266749	S	703	38	741	0.0008475962
Hylemonella gracilis	80880	S	691	44	735	0.0008407331
Caulobacter vibrioides	155892	S	301	423	724	0.0008281507
Rhodoferax antarcticus	81479	S	680	36	716	0.0008189999
Variovorax sp. PAMC28562	2762323	S	688	24	712	0.0008144245
Rhodoferax ferrireducens	192843	S	675	33	708	0.0008098490
Rhodoferax sp. PAMC29310	2822760	S	632	74	706	0.0008075613
Cupriavidus metallidurans	119219	S	452	250	702	0.0008029859
blood disease bacterium A2-HR MARDI	1944648	S	18	680	698	0.0007984105
Janthinobacterium svalbardensis	368607	S	487	211	698	0.0007984105
Variovorax sp. PBS-H4	434008	S	513	182	695	0.0007949789
Verminephrobacter eiseniae	364317	S	666	25	691	0.0007904035
Janthinobacterium tructae	2590869	S	473	213	686	0.0007846842
Limnoglobus roseus	2598579	S	648	38	686	0.0007846842
