name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Staphylococcus aureus	1280	S	1798037	9187649	10985686	0.1554160974
Salmonella enterica	28901	S	2302406	8475057	10777463	0.1524703363
Enterococcus faecalis	1351	S	6118804	4173629	10292433	0.1456085464
Limosilactobacillus fermentum	1613	S	7906977	1328308	9235285	0.1306529199
Listeria monocytogenes	1639	S	5988603	3046328	9034931	0.1278184827
Escherichia coli	562	S	977190	6494935	7472125	0.1057092390
Pseudomonas aeruginosa	287	S	1305317	3489702	4795019	0.0678358311
Bacillus intestinalis	1963032	S	3344	3806324	3809668	0.0538959272
Bacillus subtilis	1423	S	53448	1509558	1563006	0.0221120732
Bacillus spizizenii	96241	S	7161	823377	830538	0.0117497419
Bacillus cereus	1396	S	5515	195513	201028	0.0028439723
Shigella sp. PAMC 28760	1813821	S	37	179348	179385	0.0025377857
Bacillus sp. KBS0812	2582827	S	4	174063	174067	0.0024625512
Staphylococcus sp. SM9054	2807624	S	6	142267	142273	0.0020127568
Bacillus sp. HNA3	2585772	S	94	128476	128570	0.0018188985
Staphylococcus sp. SM3655	2807625	S	22	117248	117270	0.0016590357
Bacillus velezensis	492670	S	2627	106448	109075	0.0015430999
Bacillus sp. BH072	1570330	S	37	107231	107268	0.0015175360
Bacillus vallismortis	72361	S	21821	45074	66895	0.0009463733
Bacillus sp. WR11	2448811	S	265	52999	53264	0.0007535336
Shigella sonnei	624	S	217	50885	51102	0.0007229474
Bacillus inaquosorum	483913	S	3997	28418	32415	0.0004585797
Bacillus thuringiensis	1428	S	176	28929	29105	0.0004117527
Bacillus amyloliquefaciens	1390	S	671	28011	28682	0.0004057684
Bacillus atrophaeus	1452	S	2167	17732	19899	0.0002815140
Bacillus tequilensis	227866	S	12557	4805	17362	0.0002456227
Bacillus halotolerans	260554	S	2505	14435	16940	0.0002396526
Shigella flexneri	623	S	1358	14355	15713	0.0002222941
Bacillus sp. Lzh-5	2049935	S	5	15328	15333	0.0002169182
Salmonella sp. SAL-007	2816952	S	3	13739	13742	0.0001944101
Bacillus mojavensis	72360	S	6082	7402	13484	0.0001907601
Salmonella sp. SJTUF14170	2745894	S	15	13084	13099	0.0001853135
Bacillus sp. MBGLi79	2070759	S	1437	11546	12983	0.0001836724
Bacillus sp. LM 4-2	1628753	S	5	12026	12031	0.0001702043
Shigella boydii	621	S	1256	10732	11988	0.0001695960
Salmonella sp. SSDFZ54	2500542	S	324	11446	11770	0.0001665119
Enterococcus faecium	1352	S	2629	8963	11592	0.0001639937
